"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
"Total"	"75-79 years"	"75-79"			14299	404211	3537.5
	"80-84 years"	"80-84"	"2018"	"2018"	1833	30454	6018.9
	"80-84 years"	"80-84"	"2019"	"2019"	2009	32089	6260.7
	"80-84 years"	"80-84"	"2020"	"2020"	2270	33841	6707.8
	"80-84 years"	"80-84"	"2021"	"2021"	2417	34000	7108.8
	"80-84 years"	"80-84"	"2022"	"2022"	2402	36729	6539.8
	"80-84 years"	"80-84"	"2023 (provisional)"	"2023"	2442	36729	6648.7
	"80-84 years"	"80-84"	"2024 (provisional and partial)"	"2024"	1802	36729	4906.2
"Total"	"80-84 years"	"80-84"			15175	240571	6307.9
	"85-89 years"	"85-89"	"2018"	"2018"	1970	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2019"	"2019"	2027	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2020"	"2020"	2230	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2021"	"2021"	2310	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2022"	"2022"	2305	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2023 (provisional)"	"2023"	2229	Not Applicable	Not Applicable
	"85-89 years"	"85-89"	"2024 (provisional and partial)"	"2024"	1693	Not Applicable	Not Applicable
"Total"	"85-89 years"	"85-89"			14764	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2018"	"2018"	1646	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2019"	"2019"	1586	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2020"	"2020"	1799	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2021"	"2021"	1877	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2022"	"2022"	1766	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2023 (provisional)"	"2023"	1645	Not Applicable	Not Applicable
	"90-94 years"	"90-94"	"2024 (provisional and partial)"	"2024"	1247	Not Applicable	Not Applicable
"Total"	"90-94 years"	"90-94"			11566	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2018"	"2018"	736	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2019"	"2019"	757	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2020"	"2020"	831	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2021"	"2021"	788	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2022"	"2022"	776	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2023 (provisional)"	"2023"	737	Not Applicable	Not Applicable
	"95-99 years"	"95-99"	"2024 (provisional and partial)"	"2024"	562	Not Applicable	Not Applicable
"Total"	"95-99 years"	"95-99"			5187	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2018"	"2018"	145	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2019"	"2019"	141	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2020"	"2020"	163	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2021"	"2021"	141	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2022"	"2022"	139	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2023 (provisional)"	"2023"	133	Not Applicable	Not Applicable
	"100+ years"	"100+"	"2024 (provisional and partial)"	"2024"	128	Not Applicable	Not Applicable
"Total"	"100+ years"	"100+"			990	Not Applicable	Not Applicable
"Total"					109293	13086208	835.2
"---"
"Dataset: Provisional Mortality Statistics, 2018 through Last Week"
"Query Parameters:"
"Residence States: Idaho (16)"
"Group By: Five-Year Age Groups; Year"
"Show Totals: True"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/mcd-provisional.html for more information."
"---"
"Query Date: Oct 15, 2024 11:34:25 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Provisional Mortality on CDC WONDER Online Database. Data are from the final Multiple Cause of Death Files, 2018-2022,"
"and from provisional data for years 2023-2024, as compiled from data provided by the 57 vital statistics jurisdictions through"
"the Vital Statistics Cooperative Program. Accessed at http://wonder.cdc.gov/mcd-icd10-provisional.html on Oct 15, 2024 11:34:25"
"AM"
"---"
Messages:
"1. Rows with zero Deaths are hidden, but the Population values in those rows are included in the totals. Use Quick Options above"
"to show zero rows."
"2. Rows with suppressed Deaths are hidden, but the Deaths and Population values in those rows are included in the totals. Use"
"Quick Options above to show suppressed rows."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Ages 85-100."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Unreliable."
"4. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Not Stated."
"5. The population figures for years 2022 and later are single-race estimates of the July 1 resident population, from the Vintage"
"2022 postcensal series released by the Census Bureau on June 22, 2023. The 2022 series is based on the Modified Blended Base"
"produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of"
"the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020"
"Census data from the internal Census Edited File (CEF). The population figures for years 2021 are single-race estimates of the"
"July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial"
"population count, from the Vintage 2021 postcensal series released by the Census Bureau on June 30, 2022. The population figures"
"for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020 postcensal series based on"
"April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year 2019 are single-race"
"estimates of the July 1 resident population, from the Vintage 2019 postcensal series based on April 2010 Census, released by the"
"Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the July 1 resident"
"population, from the Vintage 2018 postcensal series based on April 2010 Census, released by the Census Bureau on June 20, 2019."
"More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Population Data."
"6. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the"
"resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/mcd-provisional.html#Age"
"Group."
"7. Death data for Florida from July 2024 and August 2024 are temporarily under reported due to technical difficulties with the"
"reporting systems."
"8. Deaths occurring through September 28, 2024 as of October 06, 2024."
