origin_destination,age_group,number_of_people,year,direction
Hawaii,31_40,130,2023,out
Hawaii,41_50,96,2023,out
Hawaii,51_60,83,2023,out
Hawaii,61_70,53,2023,out
Hawaii,71_80,34,2023,out
Hawaii,81_90,6,2023,out
Hawaii,91,0,2023,out
Illinois,20,2,2023,out
Illinois,21_30,3,2023,out
Illinois,31_40,3,2023,out
Illinois,41_50,5,2023,out
Illinois,51_60,3,2023,out
Illinois,61_70,0,2023,out
Illinois,71_80,0,2023,out
Illinois,81_90,0,2023,out
Illinois,91,0,2023,out
Indiana,20,36,2023,out
Indiana,21_30,122,2023,out
Indiana,31_40,70,2023,out
Indiana,41_50,47,2023,out
Indiana,51_60,38,2023,out
Indiana,61_70,22,2023,out
Indiana,71_80,8,2023,out
Indiana,81_90,2,2023,out
Indiana,91,0,2023,out
Iowa,20,24,2023,out
Iowa,21_30,100,2023,out
Iowa,31_40,53,2023,out
Iowa,41_50,25,2023,out
Iowa,51_60,37,2023,out
Iowa,61_70,21,2023,out
Iowa,71_80,5,2023,out
Iowa,81_90,1,2023,out
Iowa,91,0,2023,out
Kansas,20,32,2023,out
Kansas,21_30,93,2023,out
Kansas,31_40,56,2023,out
Kansas,41_50,31,2023,out
Kansas,51_60,34,2023,out
Kansas,61_70,26,2023,out
Kansas,71_80,9,2023,out
Kansas,81_90,0,2023,out
Kansas,91,1,2023,out
Kentucky,20,2,2023,out
Kentucky,21_30,2,2023,out
Kentucky,31_40,9,2023,out
Kentucky,41_50,3,2023,out
Kentucky,51_60,5,2023,out
Kentucky,61_70,4,2023,out
Kentucky,71_80,0,2023,out
Kentucky,81_90,0,2023,out
Kentucky,91,0,2023,out
Louisiana,20,13,2023,out
Louisiana,21_30,38,2023,out
Louisiana,31_40,24,2023,out
Louisiana,41_50,14,2023,out
Louisiana,51_60,13,2023,out
Louisiana,61_70,10,2023,out
Louisiana,71_80,6,2023,out
Louisiana,81_90,0,2023,out
Louisiana,91,0,2023,out
Maine,20,0,2023,out
Maine,21_30,3,2023,out
Maine,31_40,3,2023,out
Maine,41_50,1,2023,out
Maine,51_60,3,2023,out
Maine,61_70,0,2023,out
Maine,71_80,0,2023,out
Maine,81_90,0,2023,out
Maine,91,0,2023,out
Manitoba,20,0,2023,out
Manitoba,21_30,0,2023,out
Manitoba,31_40,0,2023,out
Manitoba,41_50,0,2023,out
Manitoba,51_60,0,2023,out
Manitoba,61_70,0,2023,out
Manitoba,71_80,0,2023,out
Manitoba,81_90,0,2023,out
Manitoba,91,0,2023,out
Marshall Islands,20,0,2023,out
Marshall Islands,21_30,0,2023,out
Marshall Islands,31_40,0,2023,out
Marshall Islands,41_50,0,2023,out
Marshall Islands,51_60,0,2023,out
Marshall Islands,61_70,0,2023,out
Marshall Islands,71_80,0,2023,out
Marshall Islands,81_90,0,2023,out
Marshall Islands,91,0,2023,out
Maryland,20,17,2023,out
Maryland,21_30,57,2023,out
Maryland,31_40,42,2023,out
Maryland,41_50,17,2023,out
Maryland,51_60,13,2023,out
Maryland,61_70,8,2023,out
Maryland,71_80,8,2023,out
Maryland,81_90,2,2023,out
Maryland,91,0,2023,out
Massachusetts,20,13,2023,out
Massachusetts,21_30,65,2023,out
Massachusetts,31_40,21,2023,out
Massachusetts,41_50,15,2023,out
Massachusetts,51_60,8,2023,out
Massachusetts,61_70,6,2023,out
Massachusetts,71_80,3,2023,out
Massachusetts,81_90,0,2023,out
Massachusetts,91,0,2023,out
Mexico,20,0,2023,out
Mexico,21_30,0,2023,out
Mexico,31_40,2,2023,out
Mexico,41_50,0,2023,out
Mexico,51_60,0,2023,out
Mexico,61_70,0,2023,out
Mexico,71_80,0,2023,out
Mexico,81_90,0,2023,out
Mexico,91,0,2023,out
Michigan,20,41,2023,out
Michigan,21_30,178,2023,out
Michigan,31_40,86,2023,out
Michigan,41_50,48,2023,out
Michigan,51_60,54,2023,out
Michigan,61_70,30,2023,out
Michigan,71_80,12,2023,out
Michigan,81_90,2,2023,out
Michigan,91,0,2023,out
Minnesota,20,42,2023,out
Minnesota,21_30,179,2023,out
Minnesota,31_40,90,2023,out
Minnesota,41_50,50,2023,out
Minnesota,51_60,31,2023,out
Minnesota,61_70,35,2023,out
Minnesota,71_80,12,2023,out
Minnesota,81_90,1,2023,out
Minnesota,91,1,2023,out
Mississippi,20,10,2023,out
Mississippi,21_30,38,2023,out
Mississippi,31_40,22,2023,out
Mississippi,41_50,22,2023,out
Mississippi,51_60,17,2023,out
Mississippi,61_70,14,2023,out
Mississippi,71_80,6,2023,out
Mississippi,81_90,0,2023,out
Mississippi,91,0,2023,out
Missouri,20,60,2023,out
Missouri,21_30,195,2023,out
Missouri,31_40,93,2023,out
Missouri,41_50,58,2023,out
Missouri,51_60,55,2023,out
Missouri,61_70,51,2023,out
Missouri,71_80,27,2023,out
Missouri,81_90,2,2023,out
Missouri,91,0,2023,out
Montana,20,216,2023,out
Montana,21_30,518,2023,out
Montana,31_40,283,2023,out
Montana,41_50,201,2023,out
Montana,51_60,210,2023,out
Montana,61_70,126,2023,out
Montana,71_80,60,2023,out
Montana,81_90,8,2023,out
Montana,91,1,2023,out
Nebraska,20,25,2023,out
Nebraska,21_30,84,2023,out
Nebraska,31_40,41,2023,out
Nebraska,41_50,29,2023,out
Nebraska,51_60,19,2023,out
Nebraska,61_70,14,2023,out
Nebraska,71_80,5,2023,out
Nebraska,81_90,0,2023,out
Nebraska,91,0,2023,out
Nevada,20,11,2023,out
Nevada,21_30,22,2023,out
Nevada,31_40,22,2023,out
Nevada,41_50,15,2023,out
Nevada,51_60,22,2023,out
Nevada,61_70,8,2023,out
Nevada,71_80,3,2023,out
Nevada,81_90,0,2023,out
Nevada,91,0,2023,out
New Brunswick,20,0,2023,out
New Brunswick,21_30,0,2023,out
New Brunswick,31_40,0,2023,out
New Brunswick,41_50,0,2023,out
New Brunswick,51_60,0,2023,out
New Brunswick,61_70,0,2023,out
New Brunswick,71_80,0,2023,out
New Brunswick,81_90,0,2023,out
New Brunswick,91,0,2023,out
New Hampshire,20,12,2023,out
New Hampshire,21_30,27,2023,out
New Hampshire,31_40,17,2023,out
New Hampshire,41_50,10,2023,out
New Hampshire,51_60,5,2023,out
New Hampshire,61_70,5,2023,out
New Hampshire,71_80,5,2023,out
New Hampshire,81_90,0,2023,out
New Hampshire,91,0,2023,out
New Jersey,20,1,2023,out
New Jersey,21_30,2,2023,out
New Jersey,31_40,0,2023,out
New Jersey,41_50,0,2023,out
New Jersey,51_60,1,2023,out
New Jersey,61_70,0,2023,out
New Jersey,71_80,0,2023,out
New Jersey,81_90,0,2023,out
New Jersey,91,0,2023,out
New Mexico,20,41,2023,out
New Mexico,21_30,110,2023,out
New Mexico,31_40,68,2023,out
New Mexico,41_50,44,2023,out
New Mexico,51_60,59,2023,out
New Mexico,61_70,40,2023,out
New Mexico,71_80,10,2023,out
New Mexico,81_90,5,2023,out
New Mexico,91,0,2023,out
New York,20,4,2023,out
New York,21_30,4,2023,out
New York,31_40,2,2023,out
New York,41_50,5,2023,out
New York,51_60,0,2023,out
New York,61_70,0,2023,out
New York,71_80,0,2023,out
New York,81_90,0,2023,out
New York,91,0,2023,out
North Carolina,20,95,2023,out
North Carolina,21_30,237,2023,out
North Carolina,31_40,106,2023,out
North Carolina,41_50,84,2023,out
North Carolina,51_60,56,2023,out
North Carolina,61_70,45,2023,out
North Carolina,71_80,24,2023,out
North Carolina,81_90,4,2023,out
North Carolina,91,0,2023,out
North Dakota,20,63,2023,out
North Dakota,21_30,116,2023,out
North Dakota,31_40,81,2023,out
North Dakota,41_50,41,2023,out
North Dakota,51_60,34,2023,out
North Dakota,61_70,17,2023,out
North Dakota,71_80,7,2023,out
North Dakota,81_90,3,2023,out
North Dakota,91,0,2023,out
Northern Mariana Islands,20,0,2023,out
Northern Mariana Islands,21_30,0,2023,out
Northern Mariana Islands,31_40,0,2023,out
Northern Mariana Islands,41_50,0,2023,out
Northern Mariana Islands,51_60,0,2023,out
Northern Mariana Islands,61_70,0,2023,out
Northern Mariana Islands,71_80,0,2023,out
Northern Mariana Islands,81_90,0,2023,out
Northern Mariana Islands,91,0,2023,out
Northwest Territory,20,0,2023,out
Northwest Territory,21_30,0,2023,out
Northwest Territory,31_40,0,2023,out
Northwest Territory,41_50,0,2023,out
Northwest Territory,51_60,0,2023,out
Northwest Territory,61_70,0,2023,out
Northwest Territory,71_80,0,2023,out
Northwest Territory,81_90,0,2023,out
Northwest Territory,91,0,2023,out
Nova Scotia,20,0,2023,out
Nova Scotia,21_30,0,2023,out
Nova Scotia,31_40,0,2023,out
Nova Scotia,41_50,0,2023,out
Nova Scotia,51_60,0,2023,out
Nova Scotia,61_70,0,2023,out
Nova Scotia,71_80,0,2023,out
Nova Scotia,81_90,0,2023,out
Nova Scotia,91,0,2023,out
Nunavut,20,0,2023,out
Nunavut,21_30,0,2023,out
Nunavut,31_40,0,2023,out
Nunavut,41_50,0,2023,out
Nunavut,51_60,0,2023,out
Nunavut,61_70,0,2023,out
Nunavut,71_80,0,2023,out
Nunavut,81_90,0,2023,out
Nunavut,91,0,2023,out
Ohio,20,57,2023,out
Ohio,21_30,185,2023,out
Ohio,31_40,86,2023,out
Ohio,41_50,59,2023,out
Ohio,51_60,45,2023,out
Ohio,61_70,25,2023,out
Ohio,71_80,15,2023,out
Ohio,81_90,4,2023,out
Ohio,91,1,2023,out
Oklahoma,20,0,2023,out
Oklahoma,21_30,9,2023,out
Oklahoma,31_40,15,2023,out
Oklahoma,41_50,11,2023,out
Oklahoma,51_60,10,2023,out
Oklahoma,61_70,7,2023,out
Oklahoma,71_80,3,2023,out
Oklahoma,81_90,0,2023,out
Oklahoma,91,0,2023,out
Ontario,20,0,2023,out
Ontario,21_30,0,2023,out
Ontario,31_40,0,2023,out
Ontario,41_50,0,2023,out
Ontario,51_60,0,2023,out
Ontario,61_70,0,2023,out
Ontario,71_80,0,2023,out
Ontario,81_90,0,2023,out
Ontario,91,0,2023,out
Oregon,20,460,2023,out
Oregon,21_30,1196,2023,out
Oregon,31_40,631,2023,out
Oregon,41_50,531,2023,out
Oregon,51_60,420,2023,out
Oregon,61_70,275,2023,out
Oregon,71_80,157,2023,out
Oregon,81_90,30,2023,out
Oregon,91,3,2023,out
Pennsylvania,20,30,2023,out
Pennsylvania,21_30,155,2023,out
Pennsylvania,31_40,74,2023,out
Pennsylvania,41_50,34,2023,out
Pennsylvania,51_60,36,2023,out
Pennsylvania,61_70,22,2023,out
Pennsylvania,71_80,6,2023,out
Pennsylvania,81_90,3,2023,out
Pennsylvania,91,0,2023,out
Prince Edward Island,20,0,2023,out
Prince Edward Island,21_30,0,2023,out
Prince Edward Island,31_40,0,2023,out
Prince Edward Island,41_50,0,2023,out
Prince Edward Island,51_60,0,2023,out
Prince Edward Island,61_70,0,2023,out
Prince Edward Island,71_80,0,2023,out
Prince Edward Island,81_90,0,2023,out
Prince Edward Island,91,0,2023,out
Puerto Rico,20,0,2023,out
Puerto Rico,21_30,0,2023,out
Puerto Rico,31_40,0,2023,out
Puerto Rico,41_50,0,2023,out
Puerto Rico,51_60,0,2023,out
Puerto Rico,61_70,0,2023,out
Puerto Rico,71_80,0,2023,out
Puerto Rico,81_90,0,2023,out
Puerto Rico,91,0,2023,out
Quebec,20,0,2023,out
Quebec,21_30,0,2023,out
Quebec,31_40,0,2023,out
Quebec,41_50,0,2023,out
Quebec,51_60,0,2023,out
Quebec,61_70,0,2023,out
Quebec,71_80,0,2023,out
Quebec,81_90,0,2023,out
Quebec,91,0,2023,out
Rhode Island,20,1,2023,out
Rhode Island,21_30,8,2023,out
Rhode Island,31_40,6,2023,out
Rhode Island,41_50,3,2023,out
Rhode Island,51_60,0,2023,out
Rhode Island,61_70,0,2023,out
Rhode Island,71_80,0,2023,out
Rhode Island,81_90,0,2023,out
Rhode Island,91,0,2023,out
Saskatchewan,20,0,2023,out
Saskatchewan,21_30,0,2023,out
Saskatchewan,31_40,0,2023,out
Saskatchewan,41_50,0,2023,out
Saskatchewan,51_60,0,2023,out
Saskatchewan,61_70,0,2023,out
Saskatchewan,71_80,0,2023,out
Saskatchewan,81_90,0,2023,out
Saskatchewan,91,0,2023,out
South Carolina,20,96,2023,out
South Carolina,21_30,295,2023,out
South Carolina,31_40,182,2023,out
South Carolina,41_50,146,2023,out
South Carolina,51_60,116,2023,out
South Carolina,61_70,71,2023,out
South Carolina,71_80,38,2023,out
South Carolina,81_90,10,2023,out
South Carolina,91,0,2023,out
South Dakota,20,20,2023,out
South Dakota,21_30,69,2023,out
South Dakota,31_40,45,2023,out
South Dakota,41_50,33,2023,out
South Dakota,51_60,38,2023,out
South Dakota,61_70,28,2023,out
South Dakota,71_80,11,2023,out
South Dakota,81_90,2,2023,out
South Dakota,91,0,2023,out
South Korea,20,0,2023,out
South Korea,21_30,0,2023,out
South Korea,31_40,0,2023,out
South Korea,41_50,0,2023,out
South Korea,51_60,0,2023,out
South Korea,61_70,0,2023,out
South Korea,71_80,0,2023,out
South Korea,81_90,0,2023,out
South Korea,91,0,2023,out
Taiwan,20,0,2023,out
Taiwan,21_30,0,2023,out
Taiwan,31_40,0,2023,out
Taiwan,41_50,0,2023,out
Taiwan,51_60,0,2023,out
Taiwan,61_70,0,2023,out
Taiwan,71_80,0,2023,out
Taiwan,81_90,0,2023,out
Taiwan,91,0,2023,out
Tennessee,20,74,2023,out
Tennessee,21_30,222,2023,out
Tennessee,31_40,121,2023,out
Tennessee,41_50,90,2023,out
Tennessee,51_60,107,2023,out
Tennessee,61_70,54,2023,out
Tennessee,71_80,31,2023,out
Tennessee,81_90,6,2023,out
Tennessee,91,0,2023,out
Texas,20,45,2023,out
Texas,21_30,172,2023,out
Texas,31_40,97,2023,out
Texas,41_50,55,2023,out
Texas,51_60,61,2023,out
Texas,61_70,30,2023,out
Texas,71_80,24,2023,out
Texas,81_90,3,2023,out
Texas,91,0,2023,out
Unknown,20,0,2023,out
Unknown,21_30,0,2023,out
Unknown,31_40,0,2023,out
Unknown,41_50,0,2023,out
Unknown,51_60,0,2023,out
Unknown,61_70,0,2023,out
Unknown,71_80,0,2023,out
Unknown,81_90,0,2023,out
Unknown,91,0,2023,out
Utah,20,1071,2023,out
Utah,21_30,1692,2023,out
Utah,31_40,493,2023,out
Utah,41_50,331,2023,out
Utah,51_60,222,2023,out
Utah,61_70,151,2023,out
Utah,71_80,107,2023,out
Utah,81_90,24,2023,out
Utah,91,2,2023,out
Vermont,20,0,2023,out
Vermont,21_30,0,2023,out
Vermont,31_40,0,2023,out
Vermont,41_50,1,2023,out
Vermont,51_60,1,2023,out
Vermont,61_70,0,2023,out
Vermont,71_80,0,2023,out
Vermont,81_90,0,2023,out
Vermont,91,0,2023,out
Virgin Islands,20,0,2023,out
Virgin Islands,21_30,0,2023,out
Virgin Islands,31_40,0,2023,out
Virgin Islands,41_50,0,2023,out
Virgin Islands,51_60,0,2023,out
Virgin Islands,61_70,0,2023,out
Virgin Islands,71_80,0,2023,out
Virgin Islands,81_90,0,2023,out
Virgin Islands,91,0,2023,out
Virginia,20,59,2023,out
Virginia,21_30,216,2023,out
Virginia,31_40,81,2023,out
Virginia,41_50,54,2023,out
Virginia,51_60,32,2023,out
Virginia,61_70,34,2023,out
Virginia,71_80,15,2023,out
Virginia,81_90,2,2023,out
Virginia,91,0,2023,out
Wake Island,20,0,2023,out
Wake Island,21_30,0,2023,out
Wake Island,31_40,0,2023,out
Wake Island,41_50,0,2023,out
Wake Island,51_60,0,2023,out
Wake Island,61_70,0,2023,out
Wake Island,71_80,0,2023,out
Wake Island,81_90,0,2023,out
Wake Island,91,0,2023,out
Washington,20,591,2023,out
Washington,21_30,2294,2023,out
Washington,31_40,1051,2023,out
Washington,41_50,583,2023,out
Washington,51_60,565,2023,out
Washington,61_70,373,2023,out
Washington,71_80,202,2023,out
Washington,81_90,46,2023,out
Washington,91,0,2023,out
West Virginia,20,0,2023,out
West Virginia,21_30,1,2023,out
West Virginia,31_40,2,2023,out
West Virginia,41_50,2,2023,out
West Virginia,51_60,1,2023,out
West Virginia,61_70,0,2023,out
West Virginia,71_80,0,2023,out
West Virginia,81_90,0,2023,out
West Virginia,91,0,2023,out
Wisconsin,20,45,2023,out
Wisconsin,21_30,140,2023,out
Wisconsin,31_40,74,2023,out
Wisconsin,41_50,36,2023,out
Wisconsin,51_60,34,2023,out
Wisconsin,61_70,26,2023,out
Wisconsin,71_80,5,2023,out
Wisconsin,81_90,3,2023,out
Wisconsin,91,0,2023,out
Wyoming,20,76,2023,out
Wyoming,21_30,179,2023,out
Wyoming,31_40,134,2023,out
Wyoming,41_50,64,2023,out
Wyoming,51_60,74,2023,out
Wyoming,61_70,41,2023,out
Wyoming,71_80,22,2023,out
Wyoming,81_90,2,2023,out
Wyoming,91,1,2023,out
Yukon Territory,20,0,2023,out
Yukon Territory,21_30,0,2023,out
Yukon Territory,31_40,0,2023,out
Yukon Territory,41_50,0,2023,out
Yukon Territory,51_60,0,2023,out
Yukon Territory,61_70,0,2023,out
Yukon Territory,71_80,0,2023,out
Yukon Territory,81_90,0,2023,out
Yukon Territory,91,0,2023,out
Alabama,21_30,19,2014,out
Alabama,31_40,35,2014,out
Alabama,41_50,14,2014,out
Alabama,51_60,10,2014,out
Alabama,61_70,7,2014,out
Alabama,71_80,6,2014,out
Alabama,81_90,0,2014,out
Alabama,91,0,2014,out
Alabama,unk,0,2014,out
Alaska,21_30,59,2014,out
Alaska,31_40,145,2014,out
Alaska,41_50,64,2014,out
Alaska,51_60,41,2014,out
Alaska,61_70,34,2014,out
Alaska,71_80,16,2014,out
Alaska,81_90,1,2014,out
Alaska,91,0,2014,out
Alaska,unk,0,2014,out
Alberta,21_30,0,2014,out
Alberta,31_40,1,2014,out
Alberta,41_50,0,2014,out
Alberta,51_60,0,2014,out
Alberta,61_70,0,2014,out
Alberta,71_80,0,2014,out
Alberta,81_90,0,2014,out
Alberta,91,0,2014,out
Alberta,unk,0,2014,out
American Samoa (Islands),21_30,0,2014,out
American Samoa (Islands),31_40,0,2014,out
American Samoa (Islands),41_50,0,2014,out
American Samoa (Islands),51_60,0,2014,out
American Samoa (Islands),61_70,0,2014,out
American Samoa (Islands),71_80,0,2014,out
American Samoa (Islands),81_90,0,2014,out
American Samoa (Islands),91,0,2014,out
American Samoa (Islands),unk,0,2014,out
Arizona,21_30,117,2014,out
Arizona,31_40,266,2014,out
Arizona,41_50,154,2014,out
Arizona,51_60,148,2014,out
Arizona,61_70,126,2014,out
Arizona,71_80,95,2014,out
Arizona,81_90,58,2014,out
Arizona,91,11,2014,out
Arizona,unk,1,2014,out
Arkansas,21_30,26,2014,out
Arkansas,31_40,58,2014,out
Arkansas,41_50,23,2014,out
Arkansas,51_60,23,2014,out
Arkansas,61_70,21,2014,out
Arkansas,71_80,13,2014,out
Arkansas,81_90,2,2014,out
Arkansas,91,0,2014,out
Arkansas,unk,0,2014,out
British Columbia,21_30,3,2014,out
British Columbia,31_40,0,2014,out
British Columbia,41_50,0,2014,out
British Columbia,51_60,0,2014,out
British Columbia,61_70,0,2014,out
British Columbia,71_80,0,2014,out
British Columbia,81_90,0,2014,out
British Columbia,91,0,2014,out
British Columbia,unk,0,2014,out
California,21_30,103,2014,out
California,31_40,340,2014,out
California,41_50,223,2014,out
California,51_60,130,2014,out
California,61_70,91,2014,out
California,71_80,36,2014,out
California,81_90,22,2014,out
California,91,9,2014,out
California,unk,4,2014,out
Colorado,21_30,229,2014,out
Colorado,31_40,475,2014,out
Colorado,41_50,241,2014,out
Colorado,51_60,164,2014,out
Colorado,61_70,101,2014,out
Colorado,71_80,62,2014,out
Colorado,81_90,11,2014,out
Colorado,91,2,2014,out
Colorado,unk,0,2014,out
Connecticut,21_30,4,2014,out
Connecticut,31_40,12,2014,out
Connecticut,41_50,3,2014,out
Connecticut,51_60,4,2014,out
Connecticut,61_70,3,2014,out
Connecticut,71_80,0,2014,out
Connecticut,81_90,0,2014,out
Connecticut,91,0,2014,out
Connecticut,unk,0,2014,out
Delaware,21_30,0,2014,out
Delaware,31_40,8,2014,out
Delaware,41_50,5,2014,out
Delaware,51_60,3,2014,out
Delaware,61_70,4,2014,out
Delaware,71_80,0,2014,out
Delaware,81_90,1,2014,out
Delaware,91,0,2014,out
Delaware,unk,0,2014,out
Dist Of Columbia,21_30,3,2014,out
Dist Of Columbia,31_40,17,2014,out
Dist Of Columbia,41_50,3,2014,out
Dist Of Columbia,51_60,1,2014,out
Dist Of Columbia,61_70,1,2014,out
Dist Of Columbia,71_80,0,2014,out
Dist Of Columbia,81_90,0,2014,out
Dist Of Columbia,91,0,2014,out
Dist Of Columbia,unk,0,2014,out
Federated States Of Micronesia,21_30,0,2014,out
Federated States Of Micronesia,31_40,0,2014,out
Federated States Of Micronesia,41_50,0,2014,out
Federated States Of Micronesia,51_60,0,2014,out
Federated States Of Micronesia,61_70,0,2014,out
Federated States Of Micronesia,71_80,0,2014,out
Federated States Of Micronesia,81_90,0,2014,out
Federated States Of Micronesia,91,0,2014,out
Federated States Of Micronesia,unk,0,2014,out
Florida,21_30,117,2014,out
Florida,31_40,218,2014,out
Florida,41_50,120,2014,out
Florida,51_60,68,2014,out
Florida,61_70,86,2014,out
Florida,71_80,63,2014,out
Florida,81_90,27,2014,out
Florida,91,3,2014,out
Florida,unk,0,2014,out
Georgia,21_30,51,2014,out
Georgia,31_40,114,2014,out
Georgia,41_50,67,2014,out
Georgia,51_60,48,2014,out
Georgia,61_70,25,2014,out
Georgia,71_80,17,2014,out
Georgia,81_90,8,2014,out
Georgia,91,1,2014,out
Georgia,unk,0,2014,out
Guam,21_30,3,2014,out
Guam,31_40,2,2014,out
Guam,41_50,3,2014,out
Guam,51_60,0,2014,out
Guam,61_70,2,2014,out
Guam,71_80,0,2014,out
Guam,81_90,0,2014,out
Guam,91,0,2014,out
Guam,unk,0,2014,out
Hawaii,21_30,16,2014,out
Hawaii,31_40,49,2014,out
Hawaii,41_50,9,2014,out
Hawaii,51_60,19,2014,out
Hawaii,61_70,9,2014,out
Hawaii,71_80,7,2014,out
Hawaii,81_90,3,2014,out
Hawaii,91,1,2014,out
Hawaii,unk,0,2014,out
Illinois,21_30,35,2014,out
