"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Idaho"	"16"	"1999"	"1999"	"28 years"	"28"	12	16998	Unreliable	36.5	123.3	20.4	0.0%
	"Idaho"	"16"	"1999"	"1999"	"29 years"	"29"	16	16570	Unreliable	55.2	156.8	24.1	0.0%
	"Idaho"	"16"	"1999"	"1999"	"30 years"	"30"	17	16589	Unreliable	59.7	164.1	24.9	0.0%
	"Idaho"	"16"	"1999"	"1999"	"31 years"	"31"	18	16202	Unreliable	65.8	175.6	26.2	0.0%
	"Idaho"	"16"	"1999"	"1999"	"32 years"	"32"	16	15951	Unreliable	57.3	162.9	25.1	0.0%
	"Idaho"	"16"	"1999"	"1999"	"33 years"	"33"	18	16068	Unreliable	66.4	177.0	26.4	0.0%
	"Idaho"	"16"	"1999"	"1999"	"34 years"	"34"	18	17185	Unreliable	62.1	165.5	24.7	0.0%
	"Idaho"	"16"	"1999"	"1999"	"35 years"	"35"	29	18468	157.0	105.2	225.5	29.2	0.0%
	"Idaho"	"16"	"1999"	"1999"	"36 years"	"36"	35	18603	188.1	131.0	261.7	31.8	0.0%
	"Idaho"	"16"	"1999"	"1999"	"37 years"	"37"	20	19766	101.2	61.8	156.3	22.6	0.0%
	"Idaho"	"16"	"1999"	"1999"	"38 years"	"38"	33	19306	170.9	117.7	240.1	29.8	0.0%
	"Idaho"	"16"	"1999"	"1999"	"39 years"	"39"	28	19815	141.3	93.9	204.2	26.7	0.0%
	"Idaho"	"16"	"1999"	"1999"	"40 years"	"40"	30	20295	147.8	99.7	211.0	27.0	0.0%
	"Idaho"	"16"	"1999"	"1999"	"41 years"	"41"	37	19310	191.6	134.9	264.1	31.5	0.0%
	"Idaho"	"16"	"1999"	"1999"	"42 years"	"42"	29	19853	146.1	97.8	209.8	27.1	0.0%
	"Idaho"	"16"	"1999"	"1999"	"43 years"	"43"	39	19099	204.2	145.2	279.1	32.7	0.0%
	"Idaho"	"16"	"1999"	"1999"	"44 years"	"44"	28	18981	147.5	98.0	213.2	27.9	0.0%
	"Idaho"	"16"	"1999"	"1999"	"45 years"	"45"	31	19643	157.8	107.2	224.0	28.3	0.0%
	"Idaho"	"16"	"1999"	"1999"	"46 years"	"46"	47	18464	254.5	187.0	338.5	37.1	0.0%
	"Idaho"	"16"	"1999"	"1999"	"47 years"	"47"	47	18156	258.9	190.2	344.2	37.8	0.0%
	"Idaho"	"16"	"1999"	"1999"	"48 years"	"48"	54	16866	320.2	240.5	417.8	43.6	0.0%
	"Idaho"	"16"	"1999"	"1999"	"49 years"	"49"	54	16954	318.5	239.3	415.6	43.3	0.0%
	"Idaho"	"16"	"1999"	"1999"	"50 years"	"50"	56	16797	333.4	251.8	432.9	44.6	0.0%
	"Idaho"	"16"	"1999"	"1999"	"51 years"	"51"	70	15952	438.8	342.1	554.4	52.4	0.0%
	"Idaho"	"16"	"1999"	"1999"	"52 years"	"52"	64	17030	375.8	289.4	479.9	47.0	0.0%
	"Idaho"	"16"	"1999"	"1999"	"53 years"	"53"	62	11824	524.4	402.0	672.2	66.6	0.0%
	"Idaho"	"16"	"1999"	"1999"	"54 years"	"54"	58	12927	448.7	340.7	580.0	58.9	0.0%
	"Idaho"	"16"	"1999"	"1999"	"55 years"	"55"	70	13083	535.0	417.1	676.0	64.0	0.0%
	"Idaho"	"16"	"1999"	"1999"	"56 years"	"56"	84	12952	648.5	517.3	802.9	70.8	0.0%
	"Idaho"	"16"	"1999"	"1999"	"57 years"	"57"	63	11072	569.0	437.2	728.0	71.7	0.0%
	"Idaho"	"16"	"1999"	"1999"	"58 years"	"58"	80	10554	758.0	601.1	943.4	84.7	0.0%
	"Idaho"	"16"	"1999"	"1999"	"59 years"	"59"	84	10447	804.1	641.3	995.5	87.7	0.0%
	"Idaho"	"16"	"1999"	"1999"	"60 years"	"60"	85	10234	830.6	663.4	1027.0	90.1	0.0%
	"Idaho"	"16"	"1999"	"1999"	"61 years"	"61"	91	9671	941.0	757.6	1155.3	98.6	0.0%
	"Idaho"	"16"	"1999"	"1999"	"62 years"	"62"	82	9037	907.4	721.7	1126.3	100.2	0.0%
	"Idaho"	"16"	"1999"	"1999"	"63 years"	"63"	101	8916	1132.8	911.9	1353.7	112.7	0.0%
	"Idaho"	"16"	"1999"	"1999"	"64 years"	"64"	133	8686	1531.2	1271.0	1791.4	132.8	0.1%
	"Idaho"	"16"	"1999"	"1999"	"65 years"	"65"	131	8242	1589.4	1317.2	1861.6	138.9	0.1%
	"Idaho"	"16"	"1999"	"1999"	"66 years"	"66"	134	8024	1670.0	1387.2	1952.7	144.3	0.1%
	"Idaho"	"16"	"1999"	"1999"	"67 years"	"67"	145	7907	1833.8	1535.3	2132.3	152.3	0.1%
	"Idaho"	"16"	"1999"	"1999"	"68 years"	"68"	143	8112	1762.8	1473.9	2051.8	147.4	0.1%
	"Idaho"	"16"	"1999"	"1999"	"69 years"	"69"	169	7536	2242.6	1904.5	2580.7	172.5	0.1%
	"Idaho"	"16"	"1999"	"1999"	"70 years"	"70"	166	7654	2168.8	1838.9	2498.7	168.3	0.1%
	"Idaho"	"16"	"1999"	"1999"	"71 years"	"71"	183	7295	2508.6	2145.1	2872.0	185.4	0.1%
	"Idaho"	"16"	"1999"	"1999"	"72 years"	"72"	181	6961	2600.2	2221.4	2979.0	193.3	0.1%
	"Idaho"	"16"	"1999"	"1999"	"73 years"	"73"	184	6909	2663.2	2278.4	3048.0	196.3	0.1%
	"Idaho"	"16"	"1999"	"1999"	"74 years"	"74"	204	6724	3033.9	2617.6	3450.2	212.4	0.1%
	"Idaho"	"16"	"1999"	"1999"	"75 years"	"75"	242	6653	3637.5	3179.2	4095.8	233.8	0.1%
	"Idaho"	"16"	"1999"	"1999"	"76 years"	"76"	259	6305	4107.9	3607.6	4608.1	255.2	0.1%
	"Idaho"	"16"	"1999"	"1999"	"77 years"	"77"	273	6086	4485.7	3953.6	5017.8	271.5	0.1%
	"Idaho"	"16"	"1999"	"1999"	"78 years"	"78"	296	5841	5067.6	4490.3	5644.9	294.5	0.1%
	"Idaho"	"16"	"1999"	"1999"	"79 years"	"79"	272	5273	5158.4	4545.3	5771.4	312.8	0.1%
	"Idaho"	"16"	"1999"	"1999"	"80 years"	"80"	264	4980	5301.2	4661.7	5940.7	326.3	0.1%
	"Idaho"	"16"	"1999"	"1999"	"81 years"	"81"	304	4563	6662.3	5913.4	7411.2	382.1	0.1%
	"Idaho"	"16"	"1999"	"1999"	"82 years"	"82"	329	4226	7785.1	6943.9	8626.4	429.2	0.1%
	"Idaho"	"16"	"1999"	"1999"	"83 years"	"83"	315	3868	8143.7	7244.4	9043.1	458.8	0.1%
	"Idaho"	"16"	"1999"	"1999"	"84 years"	"84"	306	3458	8849.0	7857.5	9840.5	505.9	0.1%
	"Idaho"	"16"	"1999"	"1999"	"85 years"	"85"	300	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"1999"	"1999"	"86 years"	"86"	327	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"1999"	"1999"	"87 years"	"87"	324	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"1999"	"1999"	"88 years"	"88"	288	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"1999"	"1999"	"89 years"	"89"	258	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"1999"	"1999"	"90 years"	"90"	221	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"1999"	"1999"	"91 years"	"91"	201	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"1999"	"1999"	"92 years"	"92"	196	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"1999"	"1999"	"93 years"	"93"	149	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"1999"	"1999"	"94 years"	"94"	125	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"1999"	"1999"	"95 years"	"95"	97	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"1999"	"1999"	"96 years"	"96"	94	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"1999"	"1999"	"97 years"	"97"	69	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"1999"	"1999"	"98 years"	"98"	49	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"1999"	"1999"	"99 years"	"99"	36	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"1999"	"1999"	"100+ years"	"100"	67	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"1999"	"1999"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"2000"	"2000"	"< 1 year"	"0"	153	19700	776.6	653.6	899.7	62.8	0.1%
	"Idaho"	"16"	"2000"	"2000"	"1 year"	"1"	Suppressed	19745	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2000"	"2000"	"2 years"	"2"	Suppressed	19105	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2000"	"2000"	"3 years"	"3"	Suppressed	19481	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2000"	"2000"	"4 years"	"4"	Suppressed	19612	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2000"	"2000"	"5 years"	"5"	Suppressed	19299	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2000"	"2000"	"6 years"	"6"	Suppressed	19673	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2000"	"2000"	"7 years"	"7"	Suppressed	20211	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2000"	"2000"	"8 years"	"8"	Suppressed	20517	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2000"	"2000"	"9 years"	"9"	Suppressed	21056	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2000"	"2000"	"10 years"	"10"	Suppressed	21171	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2000"	"2000"	"11 years"	"11"	Suppressed	20745	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2000"	"2000"	"12 years"	"12"	Suppressed	20712	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2000"	"2000"	"13 years"	"13"	Suppressed	20642	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2000"	"2000"	"14 years"	"14"	Suppressed	21338	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2000"	"2000"	"15 years"	"15"	Suppressed	21780	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2000"	"2000"	"16 years"	"16"	14	21930	Unreliable	34.9	107.1	17.1	0.0%
	"Idaho"	"16"	"2000"	"2000"	"17 years"	"17"	11	22313	Unreliable	24.6	88.2	14.9	0.0%
	"Idaho"	"16"	"2000"	"2000"	"18 years"	"18"	19	22894	Unreliable	50.0	129.6	19.0	0.0%
	"Idaho"	"16"	"2000"	"2000"	"19 years"	"19"	20	21941	91.2	55.7	140.8	20.4	0.0%
	"Idaho"	"16"	"2000"	"2000"	"20 years"	"20"	10	19868	Unreliable	24.1	92.6	15.9	0.0%
	"Idaho"	"16"	"2000"	"2000"	"21 years"	"21"	15	19396	Unreliable	43.3	127.6	20.0	0.0%
	"Idaho"	"16"	"2000"	"2000"	"22 years"	"22"	12	19032	Unreliable	32.6	110.1	18.2	0.0%
	"Idaho"	"16"	"2000"	"2000"	"23 years"	"23"	12	18536	Unreliable	33.5	113.1	18.7	0.0%
	"Idaho"	"16"	"2000"	"2000"	"24 years"	"24"	11	17162	Unreliable	32.0	114.7	19.3	0.0%
	"Idaho"	"16"	"2000"	"2000"	"25 years"	"25"	19	17074	Unreliable	67.0	173.8	25.5	0.0%
	"Idaho"	"16"	"2000"	"2000"	"26 years"	"26"	Suppressed	16380	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2000"	"2000"	"27 years"	"27"	17	16557	Unreliable	59.8	164.4	24.9	0.0%
	"Idaho"	"16"	"2000"	"2000"	"28 years"	"28"	13	17044	Unreliable	40.6	130.4	21.2	0.0%
	"Idaho"	"16"	"2000"	"2000"	"29 years"	"29"	12	18073	Unreliable	34.3	116.0	19.2	0.0%
	"Idaho"	"16"	"2000"	"2000"	"30 years"	"30"	17	17701	Unreliable	55.9	153.8	23.3	0.0%
	"Idaho"	"16"	"2000"	"2000"	"31 years"	"31"	18	16919	Unreliable	63.1	168.1	25.1	0.0%
	"Idaho"	"16"	"2000"	"2000"	"32 years"	"32"	17	16238	Unreliable	61.0	167.6	25.4	0.0%
	"Idaho"	"16"	"2000"	"2000"	"33 years"	"33"	16	16520	Unreliable	55.4	157.3	24.2	0.0%
	"Idaho"	"16"	"2000"	"2000"	"34 years"	"34"	17	16927	Unreliable	58.5	160.8	24.4	0.0%
	"Idaho"	"16"	"2000"	"2000"	"35 years"	"35"	18	18003	Unreliable	59.3	158.0	23.6	0.0%
	"Idaho"	"16"	"2000"	"2000"	"36 years"	"36"	20	18350	109.0	66.6	168.3	24.4	0.0%
	"Idaho"	"16"	"2000"	"2000"	"37 years"	"37"	21	19199	109.4	67.7	167.2	23.9	0.0%
	"Idaho"	"16"	"2000"	"2000"	"38 years"	"38"	29	19568	148.2	99.3	212.8	27.5	0.0%
	"Idaho"	"16"	"2000"	"2000"	"39 years"	"39"	28	19793	141.5	94.0	204.5	26.7	0.0%
	"Idaho"	"16"	"2000"	"2000"	"40 years"	"40"	34	20353	167.1	115.7	233.4	28.6	0.0%
	"Idaho"	"16"	"2000"	"2000"	"41 years"	"41"	30	19215	156.1	105.3	222.9	28.5	0.0%
	"Idaho"	"16"	"2000"	"2000"	"42 years"	"42"	38	19796	192.0	135.8	263.5	31.1	0.0%
	"Idaho"	"16"	"2000"	"2000"	"43 years"	"43"	46	19539	235.4	172.4	314.0	34.7	0.0%
	"Idaho"	"16"	"2000"	"2000"	"44 years"	"44"	36	19152	188.0	131.7	260.2	31.3	0.0%
	"Idaho"	"16"	"2000"	"2000"	"45 years"	"45"	41	19622	208.9	149.9	283.5	32.6	0.0%
	"Idaho"	"16"	"2000"	"2000"	"46 years"	"46"	46	18889	243.5	178.3	324.8	35.9	0.0%
	"Idaho"	"16"	"2000"	"2000"	"47 years"	"47"	56	18694	299.6	226.3	389.0	40.0	0.0%
	"Idaho"	"16"	"2000"	"2000"	"48 years"	"48"	47	18011	261.0	191.7	347.0	38.1	0.0%
	"Idaho"	"16"	"2000"	"2000"	"49 years"	"49"	60	16956	353.9	270.0	455.5	45.7	0.0%
	"Idaho"	"16"	"2000"	"2000"	"50 years"	"50"	68	17089	397.9	309.0	504.5	48.3	0.0%
	"Idaho"	"16"	"2000"	"2000"	"51 years"	"51"	65	16158	402.3	310.5	512.7	49.9	0.0%
	"Idaho"	"16"	"2000"	"2000"	"52 years"	"52"	61	16648	366.4	280.3	470.7	46.9	0.0%
	"Idaho"	"16"	"2000"	"2000"	"53 years"	"53"	60	15730	381.4	291.1	491.0	49.2	0.0%
	"Idaho"	"16"	"2000"	"2000"	"54 years"	"54"	67	12451	538.1	417.0	683.4	65.7	0.0%
	"Idaho"	"16"	"2000"	"2000"	"55 years"	"55"	60	12787	469.2	358.1	604.0	60.6	0.0%
	"Idaho"	"16"	"2000"	"2000"	"56 years"	"56"	68	12832	529.9	411.5	671.8	64.3	0.0%
	"Idaho"	"16"	"2000"	"2000"	"57 years"	"57"	80	12562	636.8	505.0	792.6	71.2	0.0%
	"Idaho"	"16"	"2000"	"2000"	"58 years"	"58"	76	11201	678.5	534.6	849.3	77.8	0.0%
	"Idaho"	"16"	"2000"	"2000"	"59 years"	"59"	88	10642	826.9	663.2	1018.8	88.1	0.0%
	"Idaho"	"16"	"2000"	"2000"	"60 years"	"60"	108	10375	1041.0	844.6	1237.3	100.2	0.0%
	"Idaho"	"16"	"2000"	"2000"	"61 years"	"61"	85	9949	854.4	682.4	1056.4	92.7	0.0%
	"Idaho"	"16"	"2000"	"2000"	"62 years"	"62"	96	9391	1022.3	828.0	1248.3	104.3	0.0%
	"Idaho"	"16"	"2000"	"2000"	"63 years"	"63"	109	9110	1196.5	971.9	1421.1	114.6	0.0%
	"Idaho"	"16"	"2000"	"2000"	"64 years"	"64"	129	8680	1486.2	1229.7	1742.6	130.9	0.0%
	"Idaho"	"16"	"2000"	"2000"	"65 years"	"65"	120	8830	1359.0	1115.8	1602.2	124.1	0.0%
	"Idaho"	"16"	"2000"	"2000"	"66 years"	"66"	135	7973	1693.2	1407.6	1978.8	145.7	0.1%
	"Idaho"	"16"	"2000"	"2000"	"67 years"	"67"	119	7889	1508.4	1237.4	1779.5	138.3	0.0%
	"Idaho"	"16"	"2000"	"2000"	"68 years"	"68"	165	7918	2083.9	1765.9	2401.8	162.2	0.1%
	"Idaho"	"16"	"2000"	"2000"	"69 years"	"69"	148	7559	1957.9	1642.5	2273.4	160.9	0.1%
	"Idaho"	"16"	"2000"	"2000"	"70 years"	"70"	180	7727	2329.5	1989.2	2669.8	173.6	0.1%
	"Idaho"	"16"	"2000"	"2000"	"71 years"	"71"	174	7241	2403.0	2045.9	2760.0	182.2	0.1%
	"Idaho"	"16"	"2000"	"2000"	"72 years"	"72"	207	7209	2871.4	2480.2	3262.6	199.6	0.1%
	"Idaho"	"16"	"2000"	"2000"	"73 years"	"73"	229	6965	3287.9	2862.0	3713.7	217.3	0.1%
	"Idaho"	"16"	"2000"	"2000"	"74 years"	"74"	219	6659	3288.8	2853.2	3724.4	222.2	0.1%
	"Idaho"	"16"	"2000"	"2000"	"75 years"	"75"	224	6688	3349.3	2910.7	3787.9	223.8	0.1%
	"Idaho"	"16"	"2000"	"2000"	"76 years"	"76"	264	6366	4147.0	3646.8	4647.3	255.2	0.1%
	"Idaho"	"16"	"2000"	"2000"	"77 years"	"77"	279	5916	4716.0	4162.6	5269.4	282.3	0.1%
	"Idaho"	"16"	"2000"	"2000"	"78 years"	"78"	268	5972	4487.6	3950.3	5024.9	274.1	0.1%
	"Idaho"	"16"	"2000"	"2000"	"79 years"	"79"	286	5501	5199.1	4596.5	5801.6	307.4	0.1%
	"Idaho"	"16"	"2000"	"2000"	"80 years"	"80"	290	5074	5715.4	5057.6	6373.2	335.6	0.1%
	"Idaho"	"16"	"2000"	"2000"	"81 years"	"81"	269	4694	5730.7	5045.9	6415.6	349.4	0.1%
	"Idaho"	"16"	"2000"	"2000"	"82 years"	"82"	307	4281	7171.2	6369.0	7973.4	409.3	0.1%
	"Idaho"	"16"	"2000"	"2000"	"83 years"	"83"	294	3901	7536.5	6675.0	8398.0	439.5	0.1%
	"Idaho"	"16"	"2000"	"2000"	"84 years"	"84"	331	3496	9468.0	8448.0	10488.0	520.4	0.1%
	"Idaho"	"16"	"2000"	"2000"	"85 years"	"85"	322	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"2000"	"2000"	"86 years"	"86"	312	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"2000"	"2000"	"87 years"	"87"	293	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"2000"	"2000"	"88 years"	"88"	307	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"2000"	"2000"	"89 years"	"89"	242	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"2000"	"2000"	"90 years"	"90"	227	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"2000"	"2000"	"91 years"	"91"	206	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"2000"	"2000"	"92 years"	"92"	202	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"2000"	"2000"	"93 years"	"93"	165	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"2000"	"2000"	"94 years"	"94"	113	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2000"	"2000"	"95 years"	"95"	99	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2000"	"2000"	"96 years"	"96"	73	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2000"	"2000"	"97 years"	"97"	73	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2000"	"2000"	"98 years"	"98"	47	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2000"	"2000"	"99 years"	"99"	33	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2000"	"2000"	"100+ years"	"100"	71	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2000"	"2000"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2001"	"2001"	"< 1 year"	"0"	129	20753	621.6	514.3	728.9	54.7	0.0%
	"Idaho"	"16"	"2001"	"2001"	"1 year"	"1"	Suppressed	20174	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2001"	"2001"	"2 years"	"2"	Suppressed	19893	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2001"	"2001"	"3 years"	"3"	Suppressed	19334	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2001"	"2001"	"4 years"	"4"	Suppressed	19728	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2001"	"2001"	"5 years"	"5"	Suppressed	19793	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2001"	"2001"	"6 years"	"6"	Suppressed	19611	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2001"	"2001"	"7 years"	"7"	Suppressed	19882	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2001"	"2001"	"8 years"	"8"	0	20388	Unreliable	0.0	0.0	0.0	0.0%
	"Idaho"	"16"	"2001"	"2001"	"9 years"	"9"	Suppressed	20849	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"2001"	"2001"	"10 years"	"10"	Suppressed	21373	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
