"Notes"	"Residence State"	"Residence State Code"	"Residence County"	"Residence County Code"	"Year"	"Year Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	Deaths	% of Total Deaths
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"25-34 years"	"25-34"	98	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"35-44 years"	"35-44"	117	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"45-54 years"	"45-54"	220	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"55-64 years"	"55-64"	454	0.4%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"65-74 years"	"65-74"	807	0.8%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"75-84 years"	"75-84"	1039	1.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"85+ years"	"85+"	1314	1.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"< 1 year"	"1"	23	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"15-24 years"	"15-24"	53	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"25-34 years"	"25-34"	88	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"35-44 years"	"35-44"	103	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"45-54 years"	"45-54"	211	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"55-64 years"	"55-64"	405	0.4%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"65-74 years"	"65-74"	728	0.7%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"75-84 years"	"75-84"	1067	1.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"85+ years"	"85+"	1252	1.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"< 1 year"	"1"	28	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"5-14 years"	"5-14"	11	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"15-24 years"	"15-24"	49	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"25-34 years"	"25-34"	79	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"35-44 years"	"35-44"	121	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"45-54 years"	"45-54"	175	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"55-64 years"	"55-64"	372	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"65-74 years"	"65-74"	667	0.6%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"75-84 years"	"75-84"	1098	1.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"85+ years"	"85+"	1245	1.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"< 1 year"	"1"	10	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"15-24 years"	"15-24"	22	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"25-34 years"	"25-34"	42	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"35-44 years"	"35-44"	64	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"45-54 years"	"45-54"	102	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"55-64 years"	"55-64"	209	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"65-74 years"	"65-74"	403	0.4%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"75-84 years"	"75-84"	600	0.6%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"85+ years"	"85+"	708	0.7%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2018"	"2018"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2018"	"2018"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2018"	"2018"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2018"	"2018"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2018"	"2018"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2018"	"2018"	"35-44 years"	"35-44"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2018"	"2018"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2018"	"2018"	"55-64 years"	"55-64"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2018"	"2018"	"65-74 years"	"65-74"	15	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2018"	"2018"	"75-84 years"	"75-84"	12	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2018"	"2018"	"85+ years"	"85+"	12	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2018"	"2018"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2019"	"2019"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2019"	"2019"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2019"	"2019"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2019"	"2019"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2019"	"2019"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2019"	"2019"	"35-44 years"	"35-44"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2019"	"2019"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2019"	"2019"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2019"	"2019"	"65-74 years"	"65-74"	14	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2019"	"2019"	"75-84 years"	"75-84"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2019"	"2019"	"85+ years"	"85+"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2019"	"2019"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020"	"2020"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020"	"2020"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020"	"2020"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020"	"2020"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020"	"2020"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020"	"2020"	"35-44 years"	"35-44"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020"	"2020"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020"	"2020"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020"	"2020"	"65-74 years"	"65-74"	12	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020"	"2020"	"75-84 years"	"75-84"	17	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020"	"2020"	"85+ years"	"85+"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2020"	"2020"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2021"	"2021"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2021"	"2021"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2021"	"2021"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2021"	"2021"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2021"	"2021"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2021"	"2021"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2021"	"2021"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2021"	"2021"	"55-64 years"	"55-64"	11	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2021"	"2021"	"65-74 years"	"65-74"	11	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2021"	"2021"	"75-84 years"	"75-84"	20	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2021"	"2021"	"85+ years"	"85+"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2021"	"2021"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2022"	"2022"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2022"	"2022"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2022"	"2022"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2022"	"2022"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2022"	"2022"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2022"	"2022"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2022"	"2022"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2022"	"2022"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2022"	"2022"	"65-74 years"	"65-74"	21	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2022"	"2022"	"75-84 years"	"75-84"	15	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2022"	"2022"	"85+ years"	"85+"	15	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2022"	"2022"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2023 (provisional)"	"2023"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2023 (provisional)"	"2023"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2023 (provisional)"	"2023"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2023 (provisional)"	"2023"	"15-24 years"	"15-24"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2023 (provisional)"	"2023"	"25-34 years"	"25-34"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2023 (provisional)"	"2023"	"35-44 years"	"35-44"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2023 (provisional)"	"2023"	"45-54 years"	"45-54"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2023 (provisional)"	"2023"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2023 (provisional)"	"2023"	"65-74 years"	"65-74"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2023 (provisional)"	"2023"	"75-84 years"	"75-84"	21	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2023 (provisional)"	"2023"	"85+ years"	"85+"	11	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2023 (provisional)"	"2023"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2024 (provisional and partial)"	"2024"	"< 1 year"	"1"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2024 (provisional and partial)"	"2024"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2024 (provisional and partial)"	"2024"	"5-14 years"	"5-14"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2024 (provisional and partial)"	"2024"	"15-24 years"	"15-24"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2024 (provisional and partial)"	"2024"	"25-34 years"	"25-34"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2024 (provisional and partial)"	"2024"	"35-44 years"	"35-44"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2024 (provisional and partial)"	"2024"	"45-54 years"	"45-54"	0	0.0%
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2024 (provisional and partial)"	"2024"	"55-64 years"	"55-64"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2024 (provisional and partial)"	"2024"	"65-74 years"	"65-74"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2024 (provisional and partial)"	"2024"	"75-84 years"	"75-84"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2024 (provisional and partial)"	"2024"	"85+ years"	"85+"	Suppressed	Suppressed
	"Idaho"	"16"	"Adams County, ID"	"16003"	"2024 (provisional and partial)"	"2024"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2018"	"2018"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2018"	"2018"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2018"	"2018"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2018"	"2018"	"15-24 years"	"15-24"	13	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2018"	"2018"	"25-34 years"	"25-34"	13	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2018"	"2018"	"35-44 years"	"35-44"	31	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2018"	"2018"	"45-54 years"	"45-54"	47	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2018"	"2018"	"55-64 years"	"55-64"	104	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2018"	"2018"	"65-74 years"	"65-74"	163	0.2%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2018"	"2018"	"75-84 years"	"75-84"	177	0.2%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2018"	"2018"	"85+ years"	"85+"	239	0.2%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2018"	"2018"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2019"	"2019"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2019"	"2019"	"1-4 years"	"1-4"	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2019"	"2019"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2019"	"2019"	"15-24 years"	"15-24"	12	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2019"	"2019"	"25-34 years"	"25-34"	15	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2019"	"2019"	"35-44 years"	"35-44"	27	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2019"	"2019"	"45-54 years"	"45-54"	27	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2019"	"2019"	"55-64 years"	"55-64"	92	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2019"	"2019"	"65-74 years"	"65-74"	152	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2019"	"2019"	"75-84 years"	"75-84"	200	0.2%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2019"	"2019"	"85+ years"	"85+"	195	0.2%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2019"	"2019"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2020"	"2020"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2020"	"2020"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2020"	"2020"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2020"	"2020"	"15-24 years"	"15-24"	12	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2020"	"2020"	"25-34 years"	"25-34"	21	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2020"	"2020"	"35-44 years"	"35-44"	37	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2020"	"2020"	"45-54 years"	"45-54"	44	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2020"	"2020"	"55-64 years"	"55-64"	108	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2020"	"2020"	"65-74 years"	"65-74"	164	0.2%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2020"	"2020"	"75-84 years"	"75-84"	216	0.2%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2020"	"2020"	"85+ years"	"85+"	247	0.2%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2020"	"2020"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2021"	"2021"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2021"	"2021"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2021"	"2021"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2021"	"2021"	"15-24 years"	"15-24"	13	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2021"	"2021"	"25-34 years"	"25-34"	26	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2021"	"2021"	"35-44 years"	"35-44"	50	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2021"	"2021"	"45-54 years"	"45-54"	57	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2021"	"2021"	"55-64 years"	"55-64"	137	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2021"	"2021"	"65-74 years"	"65-74"	214	0.2%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2021"	"2021"	"75-84 years"	"75-84"	228	0.2%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2021"	"2021"	"85+ years"	"85+"	205	0.2%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2021"	"2021"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2022"	"2022"	"< 1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2022"	"2022"	"1-4 years"	"1-4"	0	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2022"	"2022"	"5-14 years"	"5-14"	Suppressed	Suppressed
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2022"	"2022"	"15-24 years"	"15-24"	12	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2022"	"2022"	"25-34 years"	"25-34"	24	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2022"	"2022"	"35-44 years"	"35-44"	43	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2022"	"2022"	"45-54 years"	"45-54"	49	0.0%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2022"	"2022"	"55-64 years"	"55-64"	114	0.1%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2022"	"2022"	"65-74 years"	"65-74"	170	0.2%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2022"	"2022"	"75-84 years"	"75-84"	245	0.2%
	"Idaho"	"16"	"Bannock County, ID"	"16005"	"2022"	"2022"	"85+ years"	"85+"	224	0.2%
