"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Idaho"	"16"	"2000"	"2000"	"20-24 years"	"20-24"	60	93994	63.8	48.7	82.2	8.2	0.0%
	"Idaho"	"16"	"2000"	"2000"	"25-29 years"	"25-29"	69	85128	81.1	63.1	102.6	9.8	0.0%
	"Idaho"	"16"	"2000"	"2000"	"30-34 years"	"30-34"	85	84305	100.8	80.5	124.7	10.9	0.0%
	"Idaho"	"16"	"2000"	"2000"	"35-39 years"	"35-39"	116	94913	122.2	100.0	144.5	11.3	0.0%
	"Idaho"	"16"	"2000"	"2000"	"40-44 years"	"40-44"	184	98055	187.6	160.5	214.8	13.8	0.1%
	"Idaho"	"16"	"2000"	"2000"	"45-49 years"	"45-49"	250	92172	271.2	237.6	304.9	17.2	0.1%
	"Idaho"	"16"	"2000"	"2000"	"50-54 years"	"50-54"	321	78076	411.1	366.2	456.1	22.9	0.1%
	"Idaho"	"16"	"2000"	"2000"	"55-59 years"	"55-59"	372	60024	619.8	556.8	682.7	32.1	0.1%
	"Idaho"	"16"	"2000"	"2000"	"60-64 years "	"60-64"	527	47505	1109.4	1014.6	1204.1	48.3	0.2%
	"Idaho"	"16"	"2000"	"2000"	"65-69 years"	"65-69"	687	40169	1710.3	1582.4	1838.2	65.3	0.3%
	"Idaho"	"16"	"2000"	"2000"	"70-74 years"	"70-74"	1009	35801	2818.4	2644.5	2992.3	88.7	0.4%
	"Idaho"	"16"	"2000"	"2000"	"75-79 years"	"75-79"	1321	30443	4339.3	4105.3	4573.3	119.4	0.5%
	"Idaho"	"16"	"2000"	"2000"	"80-84 years"	"80-84"	1491	21446	6952.3	6599.4	7305.2	180.0	0.6%
	"Idaho"	"16"	"2000"	"2000"	"85-89 years"	"85-89"	1476	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.6%
	"Idaho"	"16"	"2000"	"2000"	"90-94 years"	"90-94"	913	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.4%
	"Idaho"	"16"	"2000"	"2000"	"95-99 years"	"95-99"	325	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"2000"	"2000"	"100+ years"	"100+"	71	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2000"	"2000"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2001"	"2001"	"< 1 year"	"1"	129	20753	621.6	514.3	728.9	54.7	0.0%
	"Idaho"	"16"	"2001"	"2001"	"1-4 years"	"1-4"	27	79129	34.1	22.5	49.6	6.6	0.0%
	"Idaho"	"16"	"2001"	"2001"	"5-9 years"	"5-9"	15	100523	Unreliable	8.4	24.6	3.9	0.0%
	"Idaho"	"16"	"2001"	"2001"	"10-14 years"	"10-14"	30	106539	28.2	19.0	40.2	5.1	0.0%
	"Idaho"	"16"	"2001"	"2001"	"15-19 years"	"15-19"	97	112006	86.6	70.2	105.6	8.8	0.0%
	"Idaho"	"16"	"2001"	"2001"	"20-24 years"	"20-24"	94	98407	95.5	77.2	116.9	9.9	0.0%
	"Idaho"	"16"	"2001"	"2001"	"25-29 years"	"25-29"	81	83480	97.0	77.1	120.6	10.8	0.0%
	"Idaho"	"16"	"2001"	"2001"	"30-34 years"	"30-34"	75	86420	86.8	68.3	108.8	10.0	0.0%
	"Idaho"	"16"	"2001"	"2001"	"35-39 years"	"35-39"	126	92645	136.0	112.3	159.8	12.1	0.0%
	"Idaho"	"16"	"2001"	"2001"	"40-44 years"	"40-44"	200	99609	200.8	173.0	228.6	14.2	0.1%
	"Idaho"	"16"	"2001"	"2001"	"45-49 years"	"45-49"	252	95053	265.1	232.4	297.8	16.7	0.1%
	"Idaho"	"16"	"2001"	"2001"	"50-54 years"	"50-54"	347	83858	413.8	370.3	457.3	22.2	0.1%
	"Idaho"	"16"	"2001"	"2001"	"55-59 years"	"55-59"	420	62735	669.5	605.5	733.5	32.7	0.2%
	"Idaho"	"16"	"2001"	"2001"	"60-64 years "	"60-64"	528	49957	1056.9	966.8	1147.1	46.0	0.2%
	"Idaho"	"16"	"2001"	"2001"	"65-69 years"	"65-69"	683	41280	1654.6	1530.5	1778.6	63.3	0.3%
	"Idaho"	"16"	"2001"	"2001"	"70-74 years"	"70-74"	938	36039	2602.7	2436.2	2769.3	85.0	0.4%
	"Idaho"	"16"	"2001"	"2001"	"75-79 years"	"75-79"	1300	30535	4257.4	4026.0	4488.8	118.1	0.5%
	"Idaho"	"16"	"2001"	"2001"	"80-84 years"	"80-84"	1547	22427	6897.9	6554.2	7241.7	175.4	0.6%
	"Idaho"	"16"	"2001"	"2001"	"85-89 years"	"85-89"	1502	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.6%
	"Idaho"	"16"	"2001"	"2001"	"90-94 years"	"90-94"	960	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.4%
	"Idaho"	"16"	"2001"	"2001"	"95-99 years"	"95-99"	327	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"2001"	"2001"	"100+ years"	"100+"	75	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2001"	"2001"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2002"	"2002"	"< 1 year"	"1"	128	20815	614.9	508.4	721.5	54.4	0.0%
	"Idaho"	"16"	"2002"	"2002"	"1-4 years"	"1-4"	29	80939	35.8	24.0	51.5	6.7	0.0%
	"Idaho"	"16"	"2002"	"2002"	"5-9 years"	"5-9"	15	100876	Unreliable	8.3	24.5	3.8	0.0%
	"Idaho"	"16"	"2002"	"2002"	"10-14 years"	"10-14"	21	107847	19.5	12.1	29.8	4.2	0.0%
	"Idaho"	"16"	"2002"	"2002"	"15-19 years"	"15-19"	81	111048	72.9	57.9	90.7	8.1	0.0%
	"Idaho"	"16"	"2002"	"2002"	"20-24 years"	"20-24"	99	101176	97.8	79.5	119.1	9.8	0.0%
	"Idaho"	"16"	"2002"	"2002"	"25-29 years"	"25-29"	72	84996	84.7	66.3	106.7	10.0	0.0%
	"Idaho"	"16"	"2002"	"2002"	"30-34 years"	"30-34"	62	87440	70.9	54.4	90.9	9.0	0.0%
	"Idaho"	"16"	"2002"	"2002"	"35-39 years"	"35-39"	128	90400	141.6	117.1	166.1	12.5	0.0%
	"Idaho"	"16"	"2002"	"2002"	"40-44 years"	"40-44"	205	99629	205.8	177.6	233.9	14.4	0.1%
	"Idaho"	"16"	"2002"	"2002"	"45-49 years"	"45-49"	312	97189	321.0	285.4	356.6	18.2	0.1%
	"Idaho"	"16"	"2002"	"2002"	"50-54 years"	"50-54"	368	85711	429.3	385.5	473.2	22.4	0.1%
	"Idaho"	"16"	"2002"	"2002"	"55-59 years"	"55-59"	410	68178	601.4	543.2	659.6	29.7	0.2%
	"Idaho"	"16"	"2002"	"2002"	"60-64 years "	"60-64"	533	52303	1019.1	932.5	1105.6	44.1	0.2%
	"Idaho"	"16"	"2002"	"2002"	"65-69 years"	"65-69"	682	42506	1604.5	1484.1	1724.9	61.4	0.3%
	"Idaho"	"16"	"2002"	"2002"	"70-74 years"	"70-74"	990	36481	2713.7	2544.7	2882.8	86.2	0.4%
	"Idaho"	"16"	"2002"	"2002"	"75-79 years"	"75-79"	1283	30737	4174.1	3945.7	4402.5	116.5	0.5%
	"Idaho"	"16"	"2002"	"2002"	"80-84 years"	"80-84"	1504	23082	6515.9	6186.6	6845.2	168.0	0.6%
	"Idaho"	"16"	"2002"	"2002"	"85-89 years"	"85-89"	1490	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.6%
	"Idaho"	"16"	"2002"	"2002"	"90-94 years"	"90-94"	1030	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.4%
	"Idaho"	"16"	"2002"	"2002"	"95-99 years"	"95-99"	406	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"2002"	"2002"	"100+ years"	"100+"	74	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2002"	"2002"	"Not Stated"	"NS"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"2003"	"2003"	"< 1 year"	"1"	138	21164	652.1	543.3	760.8	55.5	0.1%
	"Idaho"	"16"	"2003"	"2003"	"1-4 years"	"1-4"	31	83144	37.3	25.3	52.9	6.7	0.0%
	"Idaho"	"16"	"2003"	"2003"	"5-9 years"	"5-9"	14	101115	Unreliable	7.6	23.2	3.7	0.0%
	"Idaho"	"16"	"2003"	"2003"	"10-14 years"	"10-14"	29	108782	26.7	17.9	38.3	5.0	0.0%
	"Idaho"	"16"	"2003"	"2003"	"15-19 years"	"15-19"	78	110272	70.7	55.9	88.3	8.0	0.0%
	"Idaho"	"16"	"2003"	"2003"	"20-24 years"	"20-24"	93	105120	88.5	71.4	108.4	9.2	0.0%
	"Idaho"	"16"	"2003"	"2003"	"25-29 years"	"25-29"	76	86757	87.6	69.0	109.6	10.0	0.0%
	"Idaho"	"16"	"2003"	"2003"	"30-34 years"	"30-34"	89	88655	100.4	80.6	123.5	10.6	0.0%
	"Idaho"	"16"	"2003"	"2003"	"35-39 years"	"35-39"	118	88609	133.2	109.1	157.2	12.3	0.0%
	"Idaho"	"16"	"2003"	"2003"	"40-44 years"	"40-44"	217	99740	217.6	188.6	246.5	14.8	0.1%
	"Idaho"	"16"	"2003"	"2003"	"45-49 years"	"45-49"	310	98546	314.6	279.6	349.6	17.9	0.1%
	"Idaho"	"16"	"2003"	"2003"	"50-54 years"	"50-54"	406	88476	458.9	414.2	503.5	22.8	0.2%
	"Idaho"	"16"	"2003"	"2003"	"55-59 years"	"55-59"	475	72015	659.6	600.3	718.9	30.3	0.2%
	"Idaho"	"16"	"2003"	"2003"	"60-64 years "	"60-64"	572	55895	1023.3	939.5	1107.2	42.8	0.2%
	"Idaho"	"16"	"2003"	"2003"	"65-69 years"	"65-69"	666	44108	1509.9	1395.3	1624.6	58.5	0.3%
	"Idaho"	"16"	"2003"	"2003"	"70-74 years"	"70-74"	962	36694	2621.7	2456.0	2787.4	84.5	0.4%
	"Idaho"	"16"	"2003"	"2003"	"75-79 years"	"75-79"	1268	31167	4068.4	3844.5	4292.3	114.3	0.5%
	"Idaho"	"16"	"2003"	"2003"	"80-84 years"	"80-84"	1621	23355	6940.7	6602.8	7278.6	172.4	0.6%
	"Idaho"	"16"	"2003"	"2003"	"85-89 years"	"85-89"	1646	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.6%
	"Idaho"	"16"	"2003"	"2003"	"90-94 years"	"90-94"	1095	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.4%
	"Idaho"	"16"	"2003"	"2003"	"95-99 years"	"95-99"	403	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"2003"	"2003"	"100+ years"	"100+"	73	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2003"	"2003"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2004"	"2004"	"< 1 year"	"1"	139	22278	623.9	520.2	727.7	52.9	0.1%
	"Idaho"	"16"	"2004"	"2004"	"1-4 years"	"1-4"	37	84961	43.5	30.7	60.0	7.2	0.0%
	"Idaho"	"16"	"2004"	"2004"	"5-9 years"	"5-9"	15	102760	Unreliable	8.2	24.1	3.8	0.0%
	"Idaho"	"16"	"2004"	"2004"	"10-14 years"	"10-14"	24	109000	22.0	14.1	32.8	4.5	0.0%
	"Idaho"	"16"	"2004"	"2004"	"15-19 years"	"15-19"	74	110861	66.8	52.4	83.8	7.8	0.0%
	"Idaho"	"16"	"2004"	"2004"	"20-24 years"	"20-24"	92	107204	85.8	69.2	105.2	8.9	0.0%
	"Idaho"	"16"	"2004"	"2004"	"25-29 years"	"25-29"	87	90505	96.1	77.0	118.6	10.3	0.0%
	"Idaho"	"16"	"2004"	"2004"	"30-34 years"	"30-34"	78	89633	87.0	68.8	108.6	9.9	0.0%
	"Idaho"	"16"	"2004"	"2004"	"35-39 years"	"35-39"	134	88809	150.9	125.3	176.4	13.0	0.1%
	"Idaho"	"16"	"2004"	"2004"	"40-44 years"	"40-44"	186	99971	186.1	159.3	212.8	13.6	0.1%
	"Idaho"	"16"	"2004"	"2004"	"45-49 years"	"45-49"	321	99430	322.8	287.5	358.2	18.0	0.1%
	"Idaho"	"16"	"2004"	"2004"	"50-54 years"	"50-54"	399	91946	434.0	391.4	476.5	21.7	0.2%
	"Idaho"	"16"	"2004"	"2004"	"55-59 years"	"55-59"	436	76265	571.7	518.0	625.4	27.4	0.2%
	"Idaho"	"16"	"2004"	"2004"	"60-64 years "	"60-64"	570	59118	964.2	885.0	1043.3	40.4	0.2%
	"Idaho"	"16"	"2004"	"2004"	"65-69 years"	"65-69"	710	46256	1534.9	1422.0	1647.8	57.6	0.3%
	"Idaho"	"16"	"2004"	"2004"	"70-74 years"	"70-74"	919	37245	2467.4	2307.9	2627.0	81.4	0.4%
	"Idaho"	"16"	"2004"	"2004"	"75-79 years"	"75-79"	1269	31424	4038.3	3816.1	4260.5	113.4	0.5%
	"Idaho"	"16"	"2004"	"2004"	"80-84 years"	"80-84"	1536	23924	6420.3	6099.2	6741.4	163.8	0.6%
	"Idaho"	"16"	"2004"	"2004"	"85-89 years"	"85-89"	1525	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.6%
	"Idaho"	"16"	"2004"	"2004"	"90-94 years"	"90-94"	1020	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.4%
	"Idaho"	"16"	"2004"	"2004"	"95-99 years"	"95-99"	383	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"2004"	"2004"	"100+ years"	"100+"	74	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2004"	"2004"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2005"	"2005"	"< 1 year"	"1"	141	22898	615.8	514.1	717.4	51.9	0.1%
	"Idaho"	"16"	"2005"	"2005"	"1-4 years"	"1-4"	32	88138	36.3	24.8	51.3	6.4	0.0%
	"Idaho"	"16"	"2005"	"2005"	"5-9 years"	"5-9"	15	106074	Unreliable	7.9	23.3	3.7	0.0%
	"Idaho"	"16"	"2005"	"2005"	"10-14 years"	"10-14"	18	109718	Unreliable	9.7	25.9	3.9	0.0%
	"Idaho"	"16"	"2005"	"2005"	"15-19 years"	"15-19"	61	112402	54.3	41.5	69.7	6.9	0.0%
	"Idaho"	"16"	"2005"	"2005"	"20-24 years"	"20-24"	96	108543	88.4	71.6	108.0	9.0	0.0%
	"Idaho"	"16"	"2005"	"2005"	"25-29 years"	"25-29"	94	94216	99.8	80.6	122.1	10.3	0.0%
	"Idaho"	"16"	"2005"	"2005"	"30-34 years"	"30-34"	91	91047	99.9	80.5	122.7	10.5	0.0%
	"Idaho"	"16"	"2005"	"2005"	"35-39 years"	"35-39"	115	90335	127.3	104.0	150.6	11.9	0.0%
	"Idaho"	"16"	"2005"	"2005"	"40-44 years"	"40-44"	199	99181	200.6	172.8	228.5	14.2	0.1%
	"Idaho"	"16"	"2005"	"2005"	"45-49 years"	"45-49"	271	101642	266.6	234.9	298.4	16.2	0.1%
	"Idaho"	"16"	"2005"	"2005"	"50-54 years"	"50-54"	420	95684	438.9	397.0	480.9	21.4	0.2%
	"Idaho"	"16"	"2005"	"2005"	"55-59 years"	"55-59"	472	81601	578.4	526.2	630.6	26.6	0.2%
	"Idaho"	"16"	"2005"	"2005"	"60-64 years "	"60-64"	592	62630	945.2	869.1	1021.4	38.8	0.2%
	"Idaho"	"16"	"2005"	"2005"	"65-69 years"	"65-69"	785	48463	1619.8	1506.5	1733.1	57.8	0.3%
	"Idaho"	"16"	"2005"	"2005"	"70-74 years"	"70-74"	942	38311	2458.8	2301.8	2615.8	80.1	0.4%
	"Idaho"	"16"	"2005"	"2005"	"75-79 years"	"75-79"	1271	31927	3981.0	3762.1	4199.8	111.7	0.5%
	"Idaho"	"16"	"2005"	"2005"	"80-84 years"	"80-84"	1674	24359	6872.2	6543.0	7201.4	168.0	0.6%
	"Idaho"	"16"	"2005"	"2005"	"85-89 years"	"85-89"	1673	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.6%
	"Idaho"	"16"	"2005"	"2005"	"90-94 years"	"90-94"	1132	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.4%
	"Idaho"	"16"	"2005"	"2005"	"95-99 years"	"95-99"	398	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"2005"	"2005"	"100+ years"	"100+"	64	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2005"	"2005"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2006"	"2006"	"< 1 year"	"1"	165	23746	694.9	588.8	800.9	54.1	0.1%
	"Idaho"	"16"	"2006"	"2006"	"1-4 years"	"1-4"	37	90953	40.7	28.6	56.1	6.7	0.0%
	"Idaho"	"16"	"2006"	"2006"	"5-9 years"	"5-9"	18	109864	Unreliable	9.7	25.9	3.9	0.0%
	"Idaho"	"16"	"2006"	"2006"	"10-14 years"	"10-14"	32	110946	28.8	19.7	40.7	5.1	0.0%
	"Idaho"	"16"	"2006"	"2006"	"15-19 years"	"15-19"	74	113920	65.0	51.0	81.5	7.6	0.0%
	"Idaho"	"16"	"2006"	"2006"	"20-24 years"	"20-24"	91	109168	83.4	67.1	102.3	8.7	0.0%
	"Idaho"	"16"	"2006"	"2006"	"25-29 years"	"25-29"	86	99649	86.3	69.0	106.6	9.3	0.0%
	"Idaho"	"16"	"2006"	"2006"	"30-34 years"	"30-34"	86	91630	93.9	75.1	115.9	10.1	0.0%
	"Idaho"	"16"	"2006"	"2006"	"35-39 years"	"35-39"	131	93824	139.6	115.7	163.5	12.2	0.1%
	"Idaho"	"16"	"2006"	"2006"	"40-44 years"	"40-44"	204	98164	207.8	179.3	236.3	14.5	0.1%
	"Idaho"	"16"	"2006"	"2006"	"45-49 years"	"45-49"	306	103951	294.4	261.4	327.4	16.8	0.1%
	"Idaho"	"16"	"2006"	"2006"	"50-54 years"	"50-54"	409	98891	413.6	373.5	453.7	20.5	0.2%
	"Idaho"	"16"	"2006"	"2006"	"55-59 years"	"55-59"	527	87352	603.3	551.8	654.8	26.3	0.2%
	"Idaho"	"16"	"2006"	"2006"	"60-64 years "	"60-64"	604	65865	917.0	843.9	990.2	37.3	0.2%
	"Idaho"	"16"	"2006"	"2006"	"65-69 years"	"65-69"	721	51523	1399.4	1297.2	1501.5	52.1	0.3%
	"Idaho"	"16"	"2006"	"2006"	"70-74 years"	"70-74"	918	39955	2297.6	2149.0	2446.2	75.8	0.4%
	"Idaho"	"16"	"2006"	"2006"	"75-79 years"	"75-79"	1351	32437	4165.0	3942.9	4387.1	113.3	0.5%
	"Idaho"	"16"	"2006"	"2006"	"80-84 years"	"80-84"	1603	24730	6482.0	6164.7	6799.3	161.9	0.6%
	"Idaho"	"16"	"2006"	"2006"	"85-89 years"	"85-89"	1630	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.6%
	"Idaho"	"16"	"2006"	"2006"	"90-94 years"	"90-94"	1127	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.4%
	"Idaho"	"16"	"2006"	"2006"	"95-99 years"	"95-99"	412	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"2006"	"2006"	"100+ years"	"100+"	81	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2006"	"2006"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2007"	"2007"	"< 1 year"	"1"	169	24821	680.9	578.2	783.5	52.4	0.1%
	"Idaho"	"16"	"2007"	"2007"	"1-4 years"	"1-4"	31	93947	33.0	22.4	46.8	5.9	0.0%
	"Idaho"	"16"	"2007"	"2007"	"5-9 years"	"5-9"	11	113374	Unreliable	4.8	17.4	2.9	0.0%
	"Idaho"	"16"	"2007"	"2007"	"10-14 years"	"10-14"	27	112826	23.9	15.8	34.8	4.6	0.0%
	"Idaho"	"16"	"2007"	"2007"	"15-19 years"	"15-19"	85	115488	73.6	58.8	91.0	8.0	0.0%
	"Idaho"	"16"	"2007"	"2007"	"20-24 years"	"20-24"	105	108915	96.4	78.0	114.8	9.4	0.0%
	"Idaho"	"16"	"2007"	"2007"	"25-29 years"	"25-29"	85	103453	82.2	65.6	101.6	8.9	0.0%
	"Idaho"	"16"	"2007"	"2007"	"30-34 years"	"30-34"	103	94913	108.5	87.6	129.5	10.7	0.0%
	"Idaho"	"16"	"2007"	"2007"	"35-39 years"	"35-39"	126	95972	131.3	108.4	154.2	11.7	0.0%
	"Idaho"	"16"	"2007"	"2007"	"40-44 years"	"40-44"	179	96942	184.6	157.6	211.7	13.8	0.1%
	"Idaho"	"16"	"2007"	"2007"	"45-49 years"	"45-49"	309	104831	294.8	261.9	327.6	16.8	0.1%
	"Idaho"	"16"	"2007"	"2007"	"50-54 years"	"50-54"	416	101632	409.3	370.0	448.7	20.1	0.2%
	"Idaho"	"16"	"2007"	"2007"	"55-59 years"	"55-59"	523	89862	582.0	532.1	631.9	25.4	0.2%
	"Idaho"	"16"	"2007"	"2007"	"60-64 years "	"60-64"	638	71768	889.0	820.0	958.0	35.2	0.2%
	"Idaho"	"16"	"2007"	"2007"	"65-69 years"	"65-69"	742	54416	1363.6	1265.5	1461.7	50.1	0.3%
	"Idaho"	"16"	"2007"	"2007"	"70-74 years"	"70-74"	945	41242	2291.4	2145.3	2437.4	74.5	0.4%
	"Idaho"	"16"	"2007"	"2007"	"75-79 years"	"75-79"	1305	32781	3981.0	3765.0	4197.0	110.2	0.5%
	"Idaho"	"16"	"2007"	"2007"	"80-84 years"	"80-84"	1602	24910	6431.2	6116.2	6746.1	160.7	0.6%
	"Idaho"	"16"	"2007"	"2007"	"85-89 years"	"85-89"	1725	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.7%
	"Idaho"	"16"	"2007"	"2007"	"90-94 years"	"90-94"	1167	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.5%
	"Idaho"	"16"	"2007"	"2007"	"95-99 years"	"95-99"	457	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"2007"	"2007"	"100+ years"	"100+"	72	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"2007"	"2007"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
