"Notes"	"Residence State"	"Residence State Code"	"Residence County"	"Residence County Code"	"Year"	"Year Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"20-24 years"	"20-24"	25	30339	82.4	53.3	121.6	16.5	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"25-29 years"	"25-29"	37	34947	105.9	74.5	145.9	17.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"30-34 years"	"30-34"	28	35350	79.2	52.6	114.5	15.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"35-39 years"	"35-39"	56	36427	153.7	116.1	199.6	20.5	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"40-44 years"	"40-44"	41	34323	119.5	85.7	162.1	18.7	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"45-49 years"	"45-49"	74	32089	230.6	181.1	289.5	26.8	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"50-54 years"	"50-54"	100	30327	329.7	265.1	394.4	33.0	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"55-59 years"	"55-59"	162	30167	537.0	454.3	619.7	42.2	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"60-64 years "	"60-64"	250	29218	855.6	749.6	961.7	54.1	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"65-69 years"	"65-69"	272	26071	1043.3	919.3	1167.3	63.3	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"70-74 years"	"70-74"	452	21416	2110.6	1916.0	2305.1	99.3	0.4%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"75-79 years"	"75-79"	440	13559	3245.1	2941.9	3548.3	154.7	0.4%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"80-84 years"	"80-84"	524	8117	6455.6	5902.8	7008.3	282.0	0.5%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"85-89 years"	"85-89"	524	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.5%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"90-94 years"	"90-94"	491	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.5%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"95-99 years"	"95-99"	245	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"100+ years"	"100+"	45	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2020"	"2020"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"< 1 year"	"1"	31	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"1-4 years"	"1-4"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"5-9 years"	"5-9"	Suppressed	31347	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"10-14 years"	"10-14"	Suppressed	35767	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"15-19 years"	"15-19"	15	34623	Unreliable	24.2	71.5	11.2	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"20-24 years"	"20-24"	35	30872	113.4	79.0	157.7	19.2	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"25-29 years"	"25-29"	50	34841	143.5	106.5	189.2	20.3	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"30-34 years"	"30-34"	48	36436	131.7	97.1	174.7	19.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"35-39 years"	"35-39"	52	37917	137.1	102.4	179.8	19.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"40-44 years"	"40-44"	65	36863	176.3	136.1	224.7	21.9	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"45-49 years"	"45-49"	96	32889	291.9	236.4	356.4	29.8	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"50-54 years"	"50-54"	124	32657	379.7	312.9	446.5	34.1	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"55-59 years"	"55-59"	174	30912	562.9	479.3	646.5	42.7	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"60-64 years "	"60-64"	280	30801	909.1	802.6	1015.5	54.3	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"65-69 years"	"65-69"	335	27480	1219.1	1088.5	1349.6	66.6	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"70-74 years"	"70-74"	472	22934	2058.1	1872.4	2243.8	94.7	0.4%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"75-79 years"	"75-79"	517	14118	3662.0	3346.3	3977.7	161.1	0.5%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"80-84 years"	"80-84"	522	8246	6330.3	5787.3	6873.4	277.1	0.5%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"85-89 years"	"85-89"	550	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.5%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"90-94 years"	"90-94"	494	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.5%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"95-99 years"	"95-99"	241	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"100+ years"	"100+"	29	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2021"	"2021"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"< 1 year"	"1"	23	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"1-4 years"	"1-4"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"5-9 years"	"5-9"	Suppressed	30738	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"10-14 years"	"10-14"	Suppressed	34286	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"15-19 years"	"15-19"	20	35345	56.6	34.6	87.4	12.7	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"20-24 years"	"20-24"	33	33932	97.3	66.9	136.6	16.9	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"25-29 years"	"25-29"	43	35229	122.1	88.3	164.4	18.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"30-34 years"	"30-34"	45	36183	124.4	90.7	166.4	18.5	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"35-39 years"	"35-39"	40	37446	106.8	76.3	145.5	16.9	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"40-44 years"	"40-44"	63	37532	167.9	129.0	214.8	21.1	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"45-49 years"	"45-49"	90	33024	272.5	219.1	335.0	28.7	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"50-54 years"	"50-54"	121	33103	365.5	300.4	430.7	33.2	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"55-59 years"	"55-59"	176	30439	578.2	492.8	663.6	43.6	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"60-64 years "	"60-64"	229	30948	740.0	644.1	835.8	48.9	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"65-69 years"	"65-69"	326	28105	1159.9	1034.0	1285.9	64.2	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"70-74 years"	"70-74"	402	22803	1762.9	1590.6	1935.3	87.9	0.4%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"75-79 years"	"75-79"	516	16251	3175.2	2901.2	3449.2	139.8	0.5%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"80-84 years"	"80-84"	551	9200	5989.1	5489.0	6489.2	255.1	0.5%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"85-89 years"	"85-89"	547	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.5%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"90-94 years"	"90-94"	457	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.4%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"95-99 years"	"95-99"	210	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"100+ years"	"100+"	38	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2022"	"2022"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"< 1 year"	"1"	28	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"1-4 years"	"1-4"	Suppressed	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"5-9 years"	"5-9"	Suppressed	30738	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"10-14 years"	"10-14"	10	34286	Unreliable	14.0	53.6	9.2	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"15-19 years"	"15-19"	22	35345	62.2	39.0	94.2	13.3	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"20-24 years"	"20-24"	27	33932	79.6	52.4	115.8	15.3	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"25-29 years"	"25-29"	32	35229	90.8	62.1	128.2	16.1	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"30-34 years"	"30-34"	47	36183	129.9	95.4	172.7	18.9	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"35-39 years"	"35-39"	55	37446	146.9	110.6	191.2	19.8	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"40-44 years"	"40-44"	66	37532	175.8	136.0	223.7	21.6	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"45-49 years"	"45-49"	77	33024	233.2	184.0	291.4	26.6	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"50-54 years"	"50-54"	98	33103	296.0	240.3	360.8	29.9	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"55-59 years"	"55-59"	152	30439	499.4	420.0	578.7	40.5	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"60-64 years "	"60-64"	220	30948	710.9	616.9	804.8	47.9	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"65-69 years"	"65-69"	298	28105	1060.3	939.9	1180.7	61.4	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"70-74 years"	"70-74"	369	22803	1618.2	1453.1	1783.3	84.2	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"75-79 years"	"75-79"	530	16251	3261.3	2983.7	3539.0	141.7	0.5%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"80-84 years"	"80-84"	568	9200	6173.9	5666.2	6681.7	259.1	0.5%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"85-89 years"	"85-89"	546	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.5%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"90-94 years"	"90-94"	428	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.4%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"95-99 years"	"95-99"	224	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"100+ years"	"100+"	47	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2023 (provisional)"	"2023"	"Not Stated"	"NS"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"< 1 year"	"1"	10	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"1-4 years"	"1-4"	0	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"5-9 years"	"5-9"	Suppressed	30738	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"10-14 years"	"10-14"	Suppressed	34286	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"15-19 years"	"15-19"	Suppressed	35345	Suppressed	Suppressed	Suppressed	Suppressed	Suppressed
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"20-24 years"	"20-24"	15	33932	Unreliable	24.7	72.9	11.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"25-29 years"	"25-29"	15	35229	Unreliable	23.8	70.2	11.0	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"30-34 years"	"30-34"	27	36183	74.6	49.2	108.6	14.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"35-39 years"	"35-39"	26	37446	69.4	45.4	101.7	13.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"40-44 years"	"40-44"	38	37532	101.2	71.6	139.0	16.4	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"45-49 years"	"45-49"	42	33024	127.2	91.7	171.9	19.6	0.0%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"50-54 years"	"50-54"	60	33103	181.3	138.3	233.3	23.4	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"55-59 years"	"55-59"	84	30439	276.0	220.1	341.7	30.1	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"60-64 years "	"60-64"	125	30948	403.9	333.1	474.7	36.1	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"65-69 years"	"65-69"	165	28105	587.1	497.5	676.7	45.7	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"70-74 years"	"70-74"	238	22803	1043.7	911.1	1176.3	67.7	0.2%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"75-79 years"	"75-79"	294	16251	1809.1	1602.3	2015.9	105.5	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"80-84 years"	"80-84"	306	9200	3326.1	2953.4	3698.8	190.1	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"85-89 years"	"85-89"	286	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"90-94 years"	"90-94"	272	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.3%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"95-99 years"	"95-99"	119	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.1%
	"Idaho"	"16"	"Ada County, ID"	"16001"	"2024 (provisional and partial)"	"2024"	"100+ years"	"100+"	31	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
