"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	% of Total Deaths
	"Idaho"	"16"	"2018"	"2018"	"23 years"	"23"	30	0.0%
	"Idaho"	"16"	"2018"	"2018"	"24 years"	"24"	26	0.0%
	"Idaho"	"16"	"2018"	"2018"	"25 years"	"25"	29	0.0%
	"Idaho"	"16"	"2018"	"2018"	"26 years"	"26"	26	0.0%
	"Idaho"	"16"	"2018"	"2018"	"27 years"	"27"	27	0.0%
	"Idaho"	"16"	"2018"	"2018"	"28 years"	"28"	22	0.0%
	"Idaho"	"16"	"2018"	"2018"	"29 years"	"29"	18	0.0%
	"Idaho"	"16"	"2018"	"2018"	"30 years"	"30"	16	0.0%
	"Idaho"	"16"	"2018"	"2018"	"31 years"	"31"	34	0.0%
	"Idaho"	"16"	"2018"	"2018"	"32 years"	"32"	19	0.0%
	"Idaho"	"16"	"2018"	"2018"	"33 years"	"33"	22	0.0%
	"Idaho"	"16"	"2018"	"2018"	"34 years"	"34"	27	0.0%
	"Idaho"	"16"	"2018"	"2018"	"35 years"	"35"	34	0.0%
	"Idaho"	"16"	"2018"	"2018"	"36 years"	"36"	32	0.0%
	"Idaho"	"16"	"2018"	"2018"	"37 years"	"37"	31	0.0%
	"Idaho"	"16"	"2018"	"2018"	"38 years"	"38"	42	0.0%
	"Idaho"	"16"	"2018"	"2018"	"39 years"	"39"	47	0.0%
	"Idaho"	"16"	"2018"	"2018"	"40 years"	"40"	27	0.0%
	"Idaho"	"16"	"2018"	"2018"	"41 years"	"41"	36	0.0%
	"Idaho"	"16"	"2018"	"2018"	"42 years"	"42"	34	0.0%
	"Idaho"	"16"	"2018"	"2018"	"43 years"	"43"	50	0.0%
	"Idaho"	"16"	"2018"	"2018"	"44 years"	"44"	39	0.0%
	"Idaho"	"16"	"2018"	"2018"	"45 years"	"45"	40	0.0%
	"Idaho"	"16"	"2018"	"2018"	"46 years"	"46"	50	0.0%
	"Idaho"	"16"	"2018"	"2018"	"47 years"	"47"	52	0.0%
	"Idaho"	"16"	"2018"	"2018"	"48 years"	"48"	63	0.1%
	"Idaho"	"16"	"2018"	"2018"	"49 years"	"49"	80	0.1%
	"Idaho"	"16"	"2018"	"2018"	"50 years"	"50"	85	0.1%
	"Idaho"	"16"	"2018"	"2018"	"51 years"	"51"	85	0.1%
	"Idaho"	"16"	"2018"	"2018"	"52 years"	"52"	84	0.1%
	"Idaho"	"16"	"2018"	"2018"	"53 years"	"53"	95	0.1%
	"Idaho"	"16"	"2018"	"2018"	"54 years"	"54"	104	0.1%
	"Idaho"	"16"	"2018"	"2018"	"55 years"	"55"	103	0.1%
	"Idaho"	"16"	"2018"	"2018"	"56 years"	"56"	116	0.1%
	"Idaho"	"16"	"2018"	"2018"	"57 years"	"57"	120	0.1%
	"Idaho"	"16"	"2018"	"2018"	"58 years"	"58"	163	0.2%
	"Idaho"	"16"	"2018"	"2018"	"59 years"	"59"	139	0.1%
	"Idaho"	"16"	"2018"	"2018"	"60 years"	"60"	208	0.2%
	"Idaho"	"16"	"2018"	"2018"	"61 years"	"61"	179	0.2%
	"Idaho"	"16"	"2018"	"2018"	"62 years"	"62"	187	0.2%
	"Idaho"	"16"	"2018"	"2018"	"63 years"	"63"	230	0.2%
	"Idaho"	"16"	"2018"	"2018"	"64 years"	"64"	222	0.2%
	"Idaho"	"16"	"2018"	"2018"	"65 years"	"65"	273	0.3%
	"Idaho"	"16"	"2018"	"2018"	"66 years"	"66"	265	0.2%
	"Idaho"	"16"	"2018"	"2018"	"67 years"	"67"	230	0.2%
	"Idaho"	"16"	"2018"	"2018"	"68 years"	"68"	262	0.2%
	"Idaho"	"16"	"2018"	"2018"	"69 years"	"69"	297	0.3%
	"Idaho"	"16"	"2018"	"2018"	"70 years"	"70"	310	0.3%
	"Idaho"	"16"	"2018"	"2018"	"71 years"	"71"	335	0.3%
	"Idaho"	"16"	"2018"	"2018"	"72 years"	"72"	272	0.3%
	"Idaho"	"16"	"2018"	"2018"	"73 years"	"73"	277	0.3%
	"Idaho"	"16"	"2018"	"2018"	"74 years"	"74"	296	0.3%
	"Idaho"	"16"	"2018"	"2018"	"75 years"	"75"	316	0.3%
	"Idaho"	"16"	"2018"	"2018"	"76 years"	"76"	347	0.3%
	"Idaho"	"16"	"2018"	"2018"	"77 years"	"77"	341	0.3%
	"Idaho"	"16"	"2018"	"2018"	"78 years"	"78"	369	0.3%
	"Idaho"	"16"	"2018"	"2018"	"79 years"	"79"	332	0.3%
	"Idaho"	"16"	"2018"	"2018"	"80 years"	"80"	341	0.3%
	"Idaho"	"16"	"2018"	"2018"	"81 years"	"81"	364	0.3%
	"Idaho"	"16"	"2018"	"2018"	"82 years"	"82"	375	0.4%
	"Idaho"	"16"	"2018"	"2018"	"83 years"	"83"	374	0.4%
	"Idaho"	"16"	"2018"	"2018"	"84 years"	"84"	379	0.4%
	"Idaho"	"16"	"2018"	"2018"	"85 years"	"85"	397	0.4%
	"Idaho"	"16"	"2018"	"2018"	"86 years"	"86"	397	0.4%
	"Idaho"	"16"	"2018"	"2018"	"87 years"	"87"	393	0.4%
	"Idaho"	"16"	"2018"	"2018"	"88 years"	"88"	399	0.4%
	"Idaho"	"16"	"2018"	"2018"	"89 years"	"89"	384	0.4%
	"Idaho"	"16"	"2018"	"2018"	"90 years"	"90"	370	0.3%
	"Idaho"	"16"	"2018"	"2018"	"91 years"	"91"	361	0.3%
	"Idaho"	"16"	"2018"	"2018"	"92 years"	"92"	334	0.3%
	"Idaho"	"16"	"2018"	"2018"	"93 years"	"93"	297	0.3%
	"Idaho"	"16"	"2018"	"2018"	"94 years"	"94"	284	0.3%
	"Idaho"	"16"	"2018"	"2018"	"95 years"	"95"	226	0.2%
	"Idaho"	"16"	"2018"	"2018"	"96 years"	"96"	187	0.2%
	"Idaho"	"16"	"2018"	"2018"	"97 years"	"97"	148	0.1%
	"Idaho"	"16"	"2018"	"2018"	"98 years"	"98"	115	0.1%
	"Idaho"	"16"	"2018"	"2018"	"99 years"	"99"	60	0.1%
	"Idaho"	"16"	"2018"	"2018"	"100+ years"	"100"	145	0.1%
	"Idaho"	"16"	"2018"	"2018"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"2019"	"2019"	"< 1 year"	"0"	97	0.1%
	"Idaho"	"16"	"2019"	"2019"	"1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"2019"	"2019"	"2 years"	"2"	Suppressed	Suppressed
	"Idaho"	"16"	"2019"	"2019"	"3 years"	"3"	Suppressed	Suppressed
	"Idaho"	"16"	"2019"	"2019"	"4 years"	"4"	Suppressed	Suppressed
	"Idaho"	"16"	"2019"	"2019"	"5 years"	"5"	Suppressed	Suppressed
	"Idaho"	"16"	"2019"	"2019"	"6 years"	"6"	Suppressed	Suppressed
	"Idaho"	"16"	"2019"	"2019"	"7 years"	"7"	Suppressed	Suppressed
	"Idaho"	"16"	"2019"	"2019"	"8 years"	"8"	11	0.0%
	"Idaho"	"16"	"2019"	"2019"	"9 years"	"9"	10	0.0%
	"Idaho"	"16"	"2019"	"2019"	"10 years"	"10"	Suppressed	Suppressed
	"Idaho"	"16"	"2019"	"2019"	"11 years"	"11"	Suppressed	Suppressed
	"Idaho"	"16"	"2019"	"2019"	"12 years"	"12"	Suppressed	Suppressed
	"Idaho"	"16"	"2019"	"2019"	"13 years"	"13"	Suppressed	Suppressed
	"Idaho"	"16"	"2019"	"2019"	"14 years"	"14"	Suppressed	Suppressed
	"Idaho"	"16"	"2019"	"2019"	"15 years"	"15"	Suppressed	Suppressed
	"Idaho"	"16"	"2019"	"2019"	"16 years"	"16"	13	0.0%
	"Idaho"	"16"	"2019"	"2019"	"17 years"	"17"	10	0.0%
	"Idaho"	"16"	"2019"	"2019"	"18 years"	"18"	Suppressed	Suppressed
	"Idaho"	"16"	"2019"	"2019"	"19 years"	"19"	19	0.0%
	"Idaho"	"16"	"2019"	"2019"	"20 years"	"20"	17	0.0%
	"Idaho"	"16"	"2019"	"2019"	"21 years"	"21"	27	0.0%
	"Idaho"	"16"	"2019"	"2019"	"22 years"	"22"	22	0.0%
	"Idaho"	"16"	"2019"	"2019"	"23 years"	"23"	26	0.0%
	"Idaho"	"16"	"2019"	"2019"	"24 years"	"24"	16	0.0%
	"Idaho"	"16"	"2019"	"2019"	"25 years"	"25"	19	0.0%
	"Idaho"	"16"	"2019"	"2019"	"26 years"	"26"	22	0.0%
	"Idaho"	"16"	"2019"	"2019"	"27 years"	"27"	17	0.0%
	"Idaho"	"16"	"2019"	"2019"	"28 years"	"28"	21	0.0%
	"Idaho"	"16"	"2019"	"2019"	"29 years"	"29"	30	0.0%
	"Idaho"	"16"	"2019"	"2019"	"30 years"	"30"	20	0.0%
	"Idaho"	"16"	"2019"	"2019"	"31 years"	"31"	26	0.0%
	"Idaho"	"16"	"2019"	"2019"	"32 years"	"32"	26	0.0%
	"Idaho"	"16"	"2019"	"2019"	"33 years"	"33"	28	0.0%
	"Idaho"	"16"	"2019"	"2019"	"34 years"	"34"	17	0.0%
	"Idaho"	"16"	"2019"	"2019"	"35 years"	"35"	27	0.0%
	"Idaho"	"16"	"2019"	"2019"	"36 years"	"36"	25	0.0%
	"Idaho"	"16"	"2019"	"2019"	"37 years"	"37"	34	0.0%
	"Idaho"	"16"	"2019"	"2019"	"38 years"	"38"	45	0.0%
	"Idaho"	"16"	"2019"	"2019"	"39 years"	"39"	39	0.0%
	"Idaho"	"16"	"2019"	"2019"	"40 years"	"40"	34	0.0%
	"Idaho"	"16"	"2019"	"2019"	"41 years"	"41"	39	0.0%
	"Idaho"	"16"	"2019"	"2019"	"42 years"	"42"	40	0.0%
	"Idaho"	"16"	"2019"	"2019"	"43 years"	"43"	37	0.0%
	"Idaho"	"16"	"2019"	"2019"	"44 years"	"44"	52	0.0%
	"Idaho"	"16"	"2019"	"2019"	"45 years"	"45"	51	0.0%
	"Idaho"	"16"	"2019"	"2019"	"46 years"	"46"	46	0.0%
	"Idaho"	"16"	"2019"	"2019"	"47 years"	"47"	51	0.0%
	"Idaho"	"16"	"2019"	"2019"	"48 years"	"48"	68	0.1%
	"Idaho"	"16"	"2019"	"2019"	"49 years"	"49"	57	0.1%
	"Idaho"	"16"	"2019"	"2019"	"50 years"	"50"	69	0.1%
	"Idaho"	"16"	"2019"	"2019"	"51 years"	"51"	66	0.1%
	"Idaho"	"16"	"2019"	"2019"	"52 years"	"52"	69	0.1%
	"Idaho"	"16"	"2019"	"2019"	"53 years"	"53"	100	0.1%
	"Idaho"	"16"	"2019"	"2019"	"54 years"	"54"	88	0.1%
	"Idaho"	"16"	"2019"	"2019"	"55 years"	"55"	109	0.1%
	"Idaho"	"16"	"2019"	"2019"	"56 years"	"56"	132	0.1%
	"Idaho"	"16"	"2019"	"2019"	"57 years"	"57"	127	0.1%
	"Idaho"	"16"	"2019"	"2019"	"58 years"	"58"	149	0.1%
	"Idaho"	"16"	"2019"	"2019"	"59 years"	"59"	159	0.1%
	"Idaho"	"16"	"2019"	"2019"	"60 years"	"60"	178	0.2%
	"Idaho"	"16"	"2019"	"2019"	"61 years"	"61"	196	0.2%
	"Idaho"	"16"	"2019"	"2019"	"62 years"	"62"	177	0.2%
	"Idaho"	"16"	"2019"	"2019"	"63 years"	"63"	190	0.2%
	"Idaho"	"16"	"2019"	"2019"	"64 years"	"64"	231	0.2%
	"Idaho"	"16"	"2019"	"2019"	"65 years"	"65"	214	0.2%
	"Idaho"	"16"	"2019"	"2019"	"66 years"	"66"	242	0.2%
	"Idaho"	"16"	"2019"	"2019"	"67 years"	"67"	252	0.2%
	"Idaho"	"16"	"2019"	"2019"	"68 years"	"68"	276	0.3%
	"Idaho"	"16"	"2019"	"2019"	"69 years"	"69"	244	0.2%
	"Idaho"	"16"	"2019"	"2019"	"70 years"	"70"	286	0.3%
	"Idaho"	"16"	"2019"	"2019"	"71 years"	"71"	293	0.3%
	"Idaho"	"16"	"2019"	"2019"	"72 years"	"72"	361	0.3%
	"Idaho"	"16"	"2019"	"2019"	"73 years"	"73"	293	0.3%
	"Idaho"	"16"	"2019"	"2019"	"74 years"	"74"	314	0.3%
	"Idaho"	"16"	"2019"	"2019"	"75 years"	"75"	366	0.3%
	"Idaho"	"16"	"2019"	"2019"	"76 years"	"76"	416	0.4%
	"Idaho"	"16"	"2019"	"2019"	"77 years"	"77"	380	0.4%
	"Idaho"	"16"	"2019"	"2019"	"78 years"	"78"	348	0.3%
	"Idaho"	"16"	"2019"	"2019"	"79 years"	"79"	371	0.3%
	"Idaho"	"16"	"2019"	"2019"	"80 years"	"80"	398	0.4%
	"Idaho"	"16"	"2019"	"2019"	"81 years"	"81"	397	0.4%
	"Idaho"	"16"	"2019"	"2019"	"82 years"	"82"	413	0.4%
	"Idaho"	"16"	"2019"	"2019"	"83 years"	"83"	403	0.4%
	"Idaho"	"16"	"2019"	"2019"	"84 years"	"84"	398	0.4%
	"Idaho"	"16"	"2019"	"2019"	"85 years"	"85"	403	0.4%
	"Idaho"	"16"	"2019"	"2019"	"86 years"	"86"	404	0.4%
	"Idaho"	"16"	"2019"	"2019"	"87 years"	"87"	433	0.4%
	"Idaho"	"16"	"2019"	"2019"	"88 years"	"88"	373	0.4%
	"Idaho"	"16"	"2019"	"2019"	"89 years"	"89"	414	0.4%
	"Idaho"	"16"	"2019"	"2019"	"90 years"	"90"	389	0.4%
	"Idaho"	"16"	"2019"	"2019"	"91 years"	"91"	333	0.3%
	"Idaho"	"16"	"2019"	"2019"	"92 years"	"92"	324	0.3%
	"Idaho"	"16"	"2019"	"2019"	"93 years"	"93"	280	0.3%
	"Idaho"	"16"	"2019"	"2019"	"94 years"	"94"	260	0.2%
	"Idaho"	"16"	"2019"	"2019"	"95 years"	"95"	227	0.2%
	"Idaho"	"16"	"2019"	"2019"	"96 years"	"96"	192	0.2%
	"Idaho"	"16"	"2019"	"2019"	"97 years"	"97"	138	0.1%
	"Idaho"	"16"	"2019"	"2019"	"98 years"	"98"	131	0.1%
	"Idaho"	"16"	"2019"	"2019"	"99 years"	"99"	69	0.1%
	"Idaho"	"16"	"2019"	"2019"	"100+ years"	"100"	141	0.1%
	"Idaho"	"16"	"2019"	"2019"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"2020"	"2020"	"< 1 year"	"0"	109	0.1%
	"Idaho"	"16"	"2020"	"2020"	"1 year"	"1"	Suppressed	Suppressed
	"Idaho"	"16"	"2020"	"2020"	"2 years"	"2"	Suppressed	Suppressed
	"Idaho"	"16"	"2020"	"2020"	"3 years"	"3"	Suppressed	Suppressed
	"Idaho"	"16"	"2020"	"2020"	"4 years"	"4"	Suppressed	Suppressed
	"Idaho"	"16"	"2020"	"2020"	"5 years"	"5"	Suppressed	Suppressed
	"Idaho"	"16"	"2020"	"2020"	"6 years"	"6"	Suppressed	Suppressed
	"Idaho"	"16"	"2020"	"2020"	"7 years"	"7"	Suppressed	Suppressed
	"Idaho"	"16"	"2020"	"2020"	"8 years"	"8"	0	0.0%
	"Idaho"	"16"	"2020"	"2020"	"9 years"	"9"	Suppressed	Suppressed
	"Idaho"	"16"	"2020"	"2020"	"10 years"	"10"	Suppressed	Suppressed
	"Idaho"	"16"	"2020"	"2020"	"11 years"	"11"	Suppressed	Suppressed
	"Idaho"	"16"	"2020"	"2020"	"12 years"	"12"	Suppressed	Suppressed
	"Idaho"	"16"	"2020"	"2020"	"13 years"	"13"	Suppressed	Suppressed
	"Idaho"	"16"	"2020"	"2020"	"14 years"	"14"	Suppressed	Suppressed
	"Idaho"	"16"	"2020"	"2020"	"15 years"	"15"	15	0.0%
	"Idaho"	"16"	"2020"	"2020"	"16 years"	"16"	15	0.0%
	"Idaho"	"16"	"2020"	"2020"	"17 years"	"17"	21	0.0%
	"Idaho"	"16"	"2020"	"2020"	"18 years"	"18"	19	0.0%
	"Idaho"	"16"	"2020"	"2020"	"19 years"	"19"	17	0.0%
	"Idaho"	"16"	"2020"	"2020"	"20 years"	"20"	17	0.0%
	"Idaho"	"16"	"2020"	"2020"	"21 years"	"21"	26	0.0%
	"Idaho"	"16"	"2020"	"2020"	"22 years"	"22"	18	0.0%
	"Idaho"	"16"	"2020"	"2020"	"23 years"	"23"	27	0.0%
	"Idaho"	"16"	"2020"	"2020"	"24 years"	"24"	22	0.0%
	"Idaho"	"16"	"2020"	"2020"	"25 years"	"25"	23	0.0%
	"Idaho"	"16"	"2020"	"2020"	"26 years"	"26"	23	0.0%
	"Idaho"	"16"	"2020"	"2020"	"27 years"	"27"	22	0.0%
	"Idaho"	"16"	"2020"	"2020"	"28 years"	"28"	30	0.0%
	"Idaho"	"16"	"2020"	"2020"	"29 years"	"29"	29	0.0%
	"Idaho"	"16"	"2020"	"2020"	"30 years"	"30"	29	0.0%
	"Idaho"	"16"	"2020"	"2020"	"31 years"	"31"	36	0.0%
	"Idaho"	"16"	"2020"	"2020"	"32 years"	"32"	29	0.0%
	"Idaho"	"16"	"2020"	"2020"	"33 years"	"33"	32	0.0%
	"Idaho"	"16"	"2020"	"2020"	"34 years"	"34"	39	0.0%
	"Idaho"	"16"	"2020"	"2020"	"35 years"	"35"	39	0.0%
	"Idaho"	"16"	"2020"	"2020"	"36 years"	"36"	44	0.0%
	"Idaho"	"16"	"2020"	"2020"	"37 years"	"37"	45	0.0%
	"Idaho"	"16"	"2020"	"2020"	"38 years"	"38"	44	0.0%
	"Idaho"	"16"	"2020"	"2020"	"39 years"	"39"	47	0.0%
	"Idaho"	"16"	"2020"	"2020"	"40 years"	"40"	48	0.0%
	"Idaho"	"16"	"2020"	"2020"	"41 years"	"41"	41	0.0%
	"Idaho"	"16"	"2020"	"2020"	"42 years"	"42"	45	0.0%
	"Idaho"	"16"	"2020"	"2020"	"43 years"	"43"	55	0.1%
	"Idaho"	"16"	"2020"	"2020"	"44 years"	"44"	48	0.0%
	"Idaho"	"16"	"2020"	"2020"	"45 years"	"45"	60	0.1%
	"Idaho"	"16"	"2020"	"2020"	"46 years"	"46"	59	0.1%
	"Idaho"	"16"	"2020"	"2020"	"47 years"	"47"	70	0.1%
	"Idaho"	"16"	"2020"	"2020"	"48 years"	"48"	75	0.1%
	"Idaho"	"16"	"2020"	"2020"	"49 years"	"49"	61	0.1%
	"Idaho"	"16"	"2020"	"2020"	"50 years"	"50"	85	0.1%
	"Idaho"	"16"	"2020"	"2020"	"51 years"	"51"	92	0.1%
	"Idaho"	"16"	"2020"	"2020"	"52 years"	"52"	72	0.1%
	"Idaho"	"16"	"2020"	"2020"	"53 years"	"53"	101	0.1%
	"Idaho"	"16"	"2020"	"2020"	"54 years"	"54"	97	0.1%
	"Idaho"	"16"	"2020"	"2020"	"55 years"	"55"	117	0.1%
	"Idaho"	"16"	"2020"	"2020"	"56 years"	"56"	133	0.1%
	"Idaho"	"16"	"2020"	"2020"	"57 years"	"57"	156	0.1%
	"Idaho"	"16"	"2020"	"2020"	"58 years"	"58"	158	0.1%
	"Idaho"	"16"	"2020"	"2020"	"59 years"	"59"	183	0.2%
	"Idaho"	"16"	"2020"	"2020"	"60 years"	"60"	196	0.2%
	"Idaho"	"16"	"2020"	"2020"	"61 years"	"61"	204	0.2%
	"Idaho"	"16"	"2020"	"2020"	"62 years"	"62"	246	0.2%
	"Idaho"	"16"	"2020"	"2020"	"63 years"	"63"	227	0.2%
	"Idaho"	"16"	"2020"	"2020"	"64 years"	"64"	248	0.2%
	"Idaho"	"16"	"2020"	"2020"	"65 years"	"65"	230	0.2%
	"Idaho"	"16"	"2020"	"2020"	"66 years"	"66"	278	0.3%
	"Idaho"	"16"	"2020"	"2020"	"67 years"	"67"	288	0.3%
	"Idaho"	"16"	"2020"	"2020"	"68 years"	"68"	300	0.3%
	"Idaho"	"16"	"2020"	"2020"	"69 years"	"69"	259	0.2%
	"Idaho"	"16"	"2020"	"2020"	"70 years"	"70"	307	0.3%
	"Idaho"	"16"	"2020"	"2020"	"71 years"	"71"	378	0.4%
	"Idaho"	"16"	"2020"	"2020"	"72 years"	"72"	385	0.4%
	"Idaho"	"16"	"2020"	"2020"	"73 years"	"73"	465	0.4%
	"Idaho"	"16"	"2020"	"2020"	"74 years"	"74"	360	0.3%
	"Idaho"	"16"	"2020"	"2020"	"75 years"	"75"	365	0.3%
	"Idaho"	"16"	"2020"	"2020"	"76 years"	"76"	401	0.4%
	"Idaho"	"16"	"2020"	"2020"	"77 years"	"77"	468	0.4%
	"Idaho"	"16"	"2020"	"2020"	"78 years"	"78"	447	0.4%
	"Idaho"	"16"	"2020"	"2020"	"79 years"	"79"	429	0.4%
	"Idaho"	"16"	"2020"	"2020"	"80 years"	"80"	442	0.4%
	"Idaho"	"16"	"2020"	"2020"	"81 years"	"81"	464	0.4%
	"Idaho"	"16"	"2020"	"2020"	"82 years"	"82"	442	0.4%
	"Idaho"	"16"	"2020"	"2020"	"83 years"	"83"	483	0.5%
	"Idaho"	"16"	"2020"	"2020"	"84 years"	"84"	439	0.4%
	"Idaho"	"16"	"2020"	"2020"	"85 years"	"85"	437	0.4%
	"Idaho"	"16"	"2020"	"2020"	"86 years"	"86"	434	0.4%
	"Idaho"	"16"	"2020"	"2020"	"87 years"	"87"	463	0.4%
	"Idaho"	"16"	"2020"	"2020"	"88 years"	"88"	477	0.4%
	"Idaho"	"16"	"2020"	"2020"	"89 years"	"89"	419	0.4%
	"Idaho"	"16"	"2020"	"2020"	"90 years"	"90"	445	0.4%
	"Idaho"	"16"	"2020"	"2020"	"91 years"	"91"	388	0.4%
	"Idaho"	"16"	"2020"	"2020"	"92 years"	"92"	359	0.3%
	"Idaho"	"16"	"2020"	"2020"	"93 years"	"93"	340	0.3%
	"Idaho"	"16"	"2020"	"2020"	"94 years"	"94"	267	0.3%
	"Idaho"	"16"	"2020"	"2020"	"95 years"	"95"	259	0.2%
	"Idaho"	"16"	"2020"	"2020"	"96 years"	"96"	198	0.2%
	"Idaho"	"16"	"2020"	"2020"	"97 years"	"97"	160	0.2%
	"Idaho"	"16"	"2020"	"2020"	"98 years"	"98"	106	0.1%
	"Idaho"	"16"	"2020"	"2020"	"99 years"	"99"	108	0.1%
	"Idaho"	"16"	"2020"	"2020"	"100+ years"	"100"	163	0.2%
	"Idaho"	"16"	"2020"	"2020"	"Not Stated"	"NS"	0	0.0%
	"Idaho"	"16"	"2021"	"2021"	"< 1 year"	"0"	117	0.1%
	"Idaho"	"16"	"2021"	"2021"	"1 year"	"1"	11	0.0%
	"Idaho"	"16"	"2021"	"2021"	"2 years"	"2"	10	0.0%
	"Idaho"	"16"	"2021"	"2021"	"3 years"	"3"	Suppressed	Suppressed
	"Idaho"	"16"	"2021"	"2021"	"4 years"	"4"	Suppressed	Suppressed
	"Idaho"	"16"	"2021"	"2021"	"5 years"	"5"	Suppressed	Suppressed
	"Idaho"	"16"	"2021"	"2021"	"6 years"	"6"	Suppressed	Suppressed
	"Idaho"	"16"	"2021"	"2021"	"7 years"	"7"	0	0.0%
	"Idaho"	"16"	"2021"	"2021"	"8 years"	"8"	Suppressed	Suppressed
	"Idaho"	"16"	"2021"	"2021"	"9 years"	"9"	0	0.0%
	"Idaho"	"16"	"2021"	"2021"	"10 years"	"10"	Suppressed	Suppressed
	"Idaho"	"16"	"2021"	"2021"	"11 years"	"11"	Suppressed	Suppressed
	"Idaho"	"16"	"2021"	"2021"	"12 years"	"12"	Suppressed	Suppressed
	"Idaho"	"16"	"2021"	"2021"	"13 years"	"13"	Suppressed	Suppressed
	"Idaho"	"16"	"2021"	"2021"	"14 years"	"14"	11	0.0%
	"Idaho"	"16"	"2021"	"2021"	"15 years"	"15"	Suppressed	Suppressed
	"Idaho"	"16"	"2021"	"2021"	"16 years"	"16"	13	0.0%
	"Idaho"	"16"	"2021"	"2021"	"17 years"	"17"	21	0.0%
	"Idaho"	"16"	"2021"	"2021"	"18 years"	"18"	19	0.0%
	"Idaho"	"16"	"2021"	"2021"	"19 years"	"19"	21	0.0%
	"Idaho"	"16"	"2021"	"2021"	"20 years"	"20"	26	0.0%
	"Idaho"	"16"	"2021"	"2021"	"21 years"	"21"	27	0.0%
	"Idaho"	"16"	"2021"	"2021"	"22 years"	"22"	36	0.0%
	"Idaho"	"16"	"2021"	"2021"	"23 years"	"23"	25	0.0%
	"Idaho"	"16"	"2021"	"2021"	"24 years"	"24"	26	0.0%
	"Idaho"	"16"	"2021"	"2021"	"25 years"	"25"	36	0.0%
	"Idaho"	"16"	"2021"	"2021"	"26 years"	"26"	49	0.0%
	"Idaho"	"16"	"2021"	"2021"	"27 years"	"27"	31	0.0%
	"Idaho"	"16"	"2021"	"2021"	"28 years"	"28"	28	0.0%
	"Idaho"	"16"	"2021"	"2021"	"29 years"	"29"	31	0.0%
	"Idaho"	"16"	"2021"	"2021"	"30 years"	"30"	36	0.0%
	"Idaho"	"16"	"2021"	"2021"	"31 years"	"31"	46	0.0%
	"Idaho"	"16"	"2021"	"2021"	"32 years"	"32"	36	0.0%
	"Idaho"	"16"	"2021"	"2021"	"33 years"	"33"	43	0.0%
	"Idaho"	"16"	"2021"	"2021"	"34 years"	"34"	44	0.0%
	"Idaho"	"16"	"2021"	"2021"	"35 years"	"35"	58	0.1%
	"Idaho"	"16"	"2021"	"2021"	"36 years"	"36"	49	0.0%
	"Idaho"	"16"	"2021"	"2021"	"37 years"	"37"	51	0.0%
	"Idaho"	"16"	"2021"	"2021"	"38 years"	"38"	49	0.0%
	"Idaho"	"16"	"2021"	"2021"	"39 years"	"39"	50	0.0%
	"Idaho"	"16"	"2021"	"2021"	"40 years"	"40"	67	0.1%
	"Idaho"	"16"	"2021"	"2021"	"41 years"	"41"	54	0.1%
